"more presumptious","pió presuntuoso"
"ringleader","capobanda"
"waited out an insurrection","ha aspettato un'insurrezione"
"Overreliant on advice","Troppo dipendente dai consigli"
"I have ","Ho "
"Grassy Upward Stairway","Scalinata Erbosa in Su"
"Analytical Ability","AbilitÖ analitica"
"Prepare carefully embark confirmation","Prepara con cura la conferma dell'Insediamento"
"march","marcia"
"resumes the original tempo","riprende il tempo originale"
", among them ",", tra loro "
" Rank"," Rango"
"Dig a channel, making a ramp on the level below.","Scava un canale creando una rampa al livello sottostante."
"Link plate","Piastra di collegamento"
"  Their tribute is not enough.","  Il loro tributo non ä sufficiente."
"Make requests for next year's caravan.  They'll charge more for these items.","Fai richieste per la carovana del prossimo anno.  Questi oggetti costeranno di pió."
"Spouse is not present","Coniuge non presente"
" Armor Stand"," Supporto per armatura"
"is truly fulfilled by assisting those in need","ä veramente appagato dall'assistenza ai bisognosi"
"Wood Burning","Legna che brucia"
"Biographical dictionary","Dizionario biografico"
" into a "," in un "
"A savage beast from the thick of the wilds hunts us at will.","Una bestia selvaggia dal folto delle terre selvagge ci dÖ caccia a volontÖ."
"Lava Flow","Flusso di lava"
"Get Writing Materials","Prendi Materiale scrittorio"
"Some migrants have arrived at this miserable place, despite the danger.","Alcuni migranti sono arrivati in questo luogo miserabile, nonostante il pericolo."
"a gladiatory competition","una gara gladiatoria"
" squad"," squadra"
"and assign your squads to it.  The [C:3:0:1]Defend Burrow[C:7:0:0] order gives you a list of [C:1:0:0]Burrows[C:7:0:0] (created by pressing ","e assegnarvi le tue squadre.  L'ordine [C:3:0:1]Difendi Rifugio[C:7:0:0] fornisce un elenco di [C:1:0:0]Rifugi[C:7:0:0] (creato premendo "
"Hit by ball of flames","Colpito da una palla di fuoco"
"Regain consciousness","Riprendere coscienza"
"I'm not dismayed.","Non sono sgomento."
"It is best not to complicate your life with lies, sure, but the truth also has its problems.","‘ meglio non complicarsi la vita con le bugie, certo, ma anche la veritÖ ha i suoi problemi."
"Minecarts do not trigger","I carrelli da miniera non si attivano"
"an artery","un'arteria"
" BP Add Type "," BP Aggiungi Tipo "
" arm carriage"," trasporto a mano"
" should be performed using "," deve essere eseguita utilizzando "
"butler","maggiordomo"
"I must repent.","Devo pentirmi."
"expressive","espressivo"
"-and-a-half","-e mezzo"
"Unnamed bedroom","Camera da letto senza nome"
"bandages","bendaggi"
"violation","violazione"
", artists should ",", artisti dovrebbero "
"graceful","grazioso"
"the use of practice models in surgery","l'uso di modelli di pratica in chirurgia"
"This is your former master.","Questo ä il tuo vecchio maestro."
"The mortification overwhelms me!","La mortificazione mi travolge!"
"jerking","scattante"
"is very muscular","ä molto muscoloso"
"There is a ","C'ä un "
"Artifacts (Rumored)","Manufatti (vociferati)"
"I am not governed by urges.","Non sono governato dagli impulsi."
"shining bars","barre lucenti"
"charcoal","carbonella"
"Tropical Moist Brdlf Forst","Foresta tropicale umida di latifoglie"
"berserk","impazzito"
" was recited"," ä stato recitato"
"Alternatively, you can reduce the number of edge oceans required.","In alternativa puoi ridurre il numero di oceani di bordo necessari."
" devoured "," divorato "
"storyteller","narratore"
"Suture","Sutura"
"discourse on economic policy","discorso sulla politica economica"
"Release ","Rilascia "
"Why is there a riddle in the lyrics of the accompaniment?  I hate riddles.","PerchÇ c'ä un indovinello nel testo d'accompagnamento?  Odio gli indovinelli."
" tries"," prova"
"darkness","buio"
"Pumps from the east","Pompa da est"
"All","Tutto"
"is short and muscular","ä basso e muscoloso"
"been killed by a vehicle.","ä stato ucciso da un veicolo."
"even","regolare"
"Screw Pump","Pompa a vite"
"Forgotten beast irritation minimum (less = sooner)","Irritazione minima Bestia dimenticata (meno = prima)"
"possibly ","eventualmente "
"Certain lines","Alcune righe"
"Throne Room","Stanza del Trono"
"Unit move","Spostamento unitÖ"
"This visitor is ready to leave.","Questo visitatore ä pronto a partire."
"Sacrifice","Sacrificio"
"Automate tannery","Automatizza conciatura"
"green glass gems","gemme di vetro verde"
"founding","fondazione"
"is very small","ä molto piccolo"
"chemistry:laboratory:theory of evaporation","chimica:laboratorio:teoria dell'evaporazione"
"drinking","bevendo"
"This is delightful!","‘ delizioso!"
"is very weak and extremely thin","ä molto debole e estremamente esile"
"the Fighters","i Combattenti"
"Adjective","Aggettivo"
"Haulers","Trasportatori"
"swordsman","spadaccino"
"Alliance","Alleanza"
"Dig every tile selected.","Scava ogni tessera selezionata."
"There are guards patrolling ","Ci sono guardie di pattuglia "
" from nerve damage."," da danni ai nervi."
"the escape of","la fuga di"
"pregnancy","gravidanza"
"is tall and skinny","ä alto e secco"
" to "," a "
"bound service","servizio vincolato"
"spheres","sfere"
"to vent at a priest","per sfogarsi con un sacerdote"
"tax escort stole property","scorta dell'esattore ha rubato dei beni"
"somewhat splayed out","piuttosto spiattellato"
" picks"," prende"
"often has ","spesso ha "
"has some particularly crisp changes in topic","ha alcuni cambiamenti di argomento particolarmente nitidi"
"Cancel an order.  Does not affect scheduled orders.","Annulla un ordine.  Non influisce sugli ordini programmati."
"Plant gathering zones are used in locations where plants will be gathered frequently.  Use the gather designation otherwise.","Le zone di raccolta delle piante vengono sfruttate in luoghi in cui le piante verranno raccolte frequentemente.  Altrimenti utilizza la designazione di raccolta."
"being released from confinement","essere rilasciati dalla cattivitÖ"
" Coffer"," Forziere"
"This creature is unhappy right now.","Questa creatura ä infelice in questo momento."
"Earliest compatible version: ","Prima versione compatibile: "
"Click to view all news and rumors","Clicca per vedere tutte le notizie e dicerie"
"Percentage Beasts Dead For Stoppage","Percentuale Bestie Morte per Interruzione"
"So easily broken...","Si spezza cosç facilmente..."
"I'm feeling so fond!","Provo cosç tanto affetto!"
"When trading you select which goods you want from the list on the left, and which goods of yours to ","Quando commerci, seleziona i prodotti che desideri dall'elenco a sinistra e i tuoi prodotti da "
"work","lavoro"
"Go!","Vai!"
"a skilled dancer","un abile danzatore"
"poet","poeta"
"Family is the true bond that keeps society thriving.","La famiglia ä il vero legame che fa prosperare la societÖ."
"right ","destra "
"[C:5:0:1]Severe blood loss","[C:5:0:1]Grave perdita di sangue"
"has an incredibly thin frame with some fat on it","ha una struttura incredibilmente esile con un po' di grasso sopra"
"  It pains me all the more, for the foul villain ","  Ciï che mi fa pió male ä che l'immondo criminale "
"Town","Paese"
"Two installed mods have the same id and numeric version: ","Due mod installate hanno stesso id e stessa versione numerica: "
"is long and incredibly fat","ä lungo e incredibilmente grasso"
"believes friendship is a key to the ideal life","crede che l'amicizia sia la chiave per la vita ideale"
"Legendary murderer","Leggendario omicida"
"Thank you for your kind words.","Grazie per le tue gentili parole."
"This type is restricted from brewing.","Questo tipo ä limitato dalla produzione d'alcol."
"Nearby","Vicino"
"ninth eldest daughter","nona figlia maggiore"
"has an extremely thin body with almost no fat on it","ha un corpo estremamente esile quasi privo di grasso"
"Armorer","Corazzaio"
"Bandit empties container","Il bandito svuota il contenitore"
"warlord","signore della guerra"
"Archetypes","Archetipi"
"Down Stair","Scala in Gió"
"after pondering the ineffable subtleties of ","dopo aver riflettuto sulle ineffabili sottigliezze del "
"Below average","Sotto la media"
"Is there something to be happy about?","C'ä qualcosa di cui essere felici?"
"Surveying","Misurazione"
" crushed the insurrection in "," schiacciï l'insurrezione in "
"slit","fessura"
"musical composition","composizione musicale"
"the processed goods market","il mercato dei prodotti trasformati"
"does not generally seek retribution for past wrongs","generalmente non cerca vendetta per i torti subiti in passato"
"Equipment/pet points: ","Punti attrezzatura/animale: "
"The dead walk.  Hide while you still can!","I morti camminano.  Nasconditi finchÇ puoi!"
"Toggle the visibility of the item.  Hidden items cannot be seen but citizens will still use them.  If a permanent building item is invisible, the building will be too!","Alterna la visibilitÖ dell'oggetto.  Non vedrai gli oggetti nascosti ma i cittadini li useranno comunque.  Se un oggetto da costruzione permanente ä invisibile lo sarÖ anche l'edificio!"
"Recenter on the deepest discovered area at this location.","Rincentra sull'area pió profonda scoperta in questo luogo."
"Processing entities...","Elaborazione delle entitÖ..."
", once more,",", ancora una volta,"
"Buckets","Secchi"
"Wood","Legna"
"Build. (coming soon)","Costruisci. (in arrivo)"
"a tower","una torre"
"Art","Arte"
"is tall, weak and skinny","ä alto, debole e secco"
"died after colliding with an obstacle","ä morto dopo essersi scontrato con un ostacolo"
"ringleaders","capibanda"
"would just as soon have nature and the great outdoors burned to ashes and converted into a great mining pit","tanto presto la natura e i grandi spazi aperti sarebbero bruciati in cenere e trasformati in un grande pozzo minerario"
"Your wanderings have brought you to this place after a long journey.","I tuoi vagabondaggi ti hanno portato in questo luogo dopo un lungo viaggio."
"curving scar.  ","cicatrice curvilinea.  "
"Specify size","Specifica dimensione"
"physical examination","esame fisico"
"relieved","sollevato"
"refugees","rifugiati"
"This item is resting within the building.","Quest'oggetto ä riposto nell'edificio."
"quarreler","altercatore"
" repaired"," riparato"
" often greets others with a hug"," saluta spesso gli altri con un abbraccio"
"I'm very fond.","Sono molto affezionato."
" (6 of 8)"," (6 di 8)"
"is very muscular, tall and obese","ä molto muscoloso, alto e obeso"
"corner","angolo"
"perfectionist","perfezionista"
"Bad with words","Incapace con le parole"
" Some"," Qualche"
"warlords","signori della guerra"
"I really care.","Mi interessa davvero."
"the Obsession","l'Ossessione"
" of the lead"," della guida"
"Track/Ramp (W)","Binario/Rampa (O)"
" a position"," una posizione "
" was performed"," ä stato eseguito"
" fled from the area just before an army"," fuggito dall'area poco prima che un esercito"
"added masterful rollers","ha aggiunto dei rulli magistrali"
"reunited with loved one","ricongiungimento con la persona amata"
"Third","Terzo"
"Disorder","Disordine"
"Pearlash","Potassa raffinata"
" skids along the ground"," scivola sul terreno"
"What will you say about the conclusion of the agreement?","Cosa dirai riguardo alla conclusione dell'accordo?"
"the Stars","le Stelle"
" out thick strands of webbing"," spessi fili di ragnatela"
"after praying to ","dopo aver pregato "
"create a great work of art","creare una grande opera d'arte"
"art to","arte per"
" was a"," era un"
"the spear","la lancia"
"a great memory","un'ottima memoria"
" takes the full force of the impact"," subisce tutta la forza dell'impatto"
"the Trenches","i Fossati"
"I couldn't sleep at all with all the noise.","Non riuscivo a dormire con tutto quel rumore."
"Master Lasher","Mastro fustigatore"
"Leather","Cuoio"
"Cannot make request without leader","Impossibile fare richiesta senza capo"
"*** STARTING NEW GAME ***","*** COMINCIA NUOVA PARTITA ***"
"Engineer","Ingegnere"
"Watch Sparring Practice","Guarda pratica di pugilato"
"map projections","proiezioni della mappa"
"Forbid your death items","Vieta oggetti di morte"
"Military organization","Organizzazione militare"
"a very good feel for social relationships","un'ottima sensibilitÖ per i rapporti sociali"
" finely-designed"," finemente progettato"
"due to jealousy","a causa della gelosia"
"Small Animal Dissection","Dissezione di piccoli animali"
"guilty","colpevole"
"was striken by melancholy","ä stato colpito dalla malinconia"
"cylindrical","cilindrico"
"Not altruistic","Non altruista"
"is throughout ornate and refined","ä tutto ornato e raffinato"
"doesn't care very much about decorum","non si preoccupa molto del decoro"
" talent and abilities"," talento e capacitÖ"
"the Method","il Metodo"
" was recovered"," ä stato recuperato"
" event"," evento"
"is not careful with resources when working on projects and often spends unnecessary effort","non ä attento alle risorse quando lavora a progetti e spesso fa sforzi inutili"
"distance scales","scale di distanza"
"This cannot horrify me.","Ciï non puï inorridirmi."
"has a broad, prominent","ha un'ampio, prominente"
" given to all new members"," consegnato a tutti i nuovi membri"
"Workers gather refuse","I lavoratori raccolgono i rifiuti"
"the Right Triangle","il Rriangolo Destro"
" drone pipe produces"," bordone produce"
"wooden","di legno"
"Finalizing generated objects...","Ultimando oggetti generati..."
"Open the citizen information menu.","Apri il menó informazioni del cittadino."
"younger sibling","fratello minore"
" are unable to break"," non sono in grado di rompere"
"I am very, very displeased.","Sono molto, molto dispiaciuto."
"Meeting areas and locations","Aree d'incontro e luoghi"
"martial prowess","abilitÖ marziale"
"Stand ready but do not fire","Tenetevi pronti ma non sparate"
"history:theory:historical causation","storia:teoria:causalitÖ storica"
"lack of fear toward","mancanza di paura verso"
"slows and broadens","rallenta e si allarga"
"this poor soul","questa pover'anima"
"striking down ","colpendo "
"snow","neve"
"a export prohibition violation","una violazione del divieto di esportazione"
"Bake clay objects here, as well as a few other useful materials.  Clay can also be collected here if you have a clay collection zone.  Magma below the kiln will power tasks.  You are responsible for placing the kiln above the magma, but no other fuel is required.","Qui puoi cuocere oggetti in argilla e altri materiali utili.  L'argilla puï essere raccolta anche qui se presente una zona di raccolta dell'argilla.  Il magma sotto al forno alimenta i compiti.  ‘ tua responsabilitÖ collocare il forno sul magma, non serve altro combustibile."
"the Plague","la Peste"
"a tribute cancellation","annullamento di un tributo"
"  [C:5:0:1]This creature is known to be dead.","  [C:5:0:1]Si sa che questa creatura ä morta."
"Practice fire (uses many bolts!)","Esercitarsi con il fuoco (consuma molte munizioni!)"
"Who do you work for?","Per chi lavori?"
"a tree","un albero"
"someone recently deceased","una persona deceduta di recente"
"is short and not very strong","ä basso e non molto forte"
"Other Recipes","Altre ricette"
"slashed out","squarciato"
"How will you respond to the request for directions?","Come risponderete alla richiesta di indicazioni?"
" mirrored"," specchiato"
"has trouble speaking when ","ha difficoltÖ a parlare quando "
"Take out of a container","Estrarre da un contenitore"
"Item Cloud","Oggetto Nuvola"
"believes that the acquisition of power over others is the ideal goal in life and worthy of the highest respect","ritiene che l'acquisizione del potere sugli altri sia l'obiettivo ideale nella vita, degno del massimo rispetto"
"What a dancer!  It's such an honor to have you here.","Che danzatore!  ‘ un tale onore avervi qui."
"Toggle whether the stockpile allows non-plant-and-animal-based objects, regardless of other settings.","Scegli se la scorta consente, o no, oggetti non a base vegetale e animale, indipendentemente dalle altre impostazioni."
"these sewers","queste fogne"
"When greeting others, ","Quando saluta gli altri, "
"fort","forte"
"the use of specialized wards in hospitals","l'utilizzo di reparti specializzati negli ospedali"
"is muscular and extremely long","ä muscoloso ed estremamente lungo"
"the parley between ","la discussione tra "
"Slaughter livestock here in order to obtain meat, hides, bones, and other animal products.","Macella qui il bestiame per ottenere carne, pelli, ossa e altri prodotti animali."
"The world generator is having trouble placing enough mid-level elevations.  ","Il generatore del mondo ha problemi a collocare sufficienti quote intermedie.  "
"Pit/pond ","Fossa/stagno "
"I feel so tired of everything.","Sono stanco di tutto."
"is very comfortable around others that are different from ","ä molto a suo agio con persone diverse da "
"an extremely long series of","una serie estremamente lunga di"
"Pillage ","Saccheggia "
"After you embark, help is available by pressing the help button in the top right corner, including all of the tutorials.","Dopo l'insediamento, gli aiuti saranno disponibili premendo il tasto di aiuto nell'angolo in alto a destra, comprese tutte le esercitazioni."
"(0 for unnumbered plural)","(0 = plurale non numerato)"
" cringing"," sottomettendosi"
"Metalcrafter","Artigiano del metallo"
"Move keyboard cursor up, fast","Muovi cursore tastiera su, veloce"
"cornering of","intrappolamento di"
"[C:6:0:1].Torn tendon","[C:6:0:1].Tendine lacerato"
"Large Numbers","Grandi numeri"
"dragon fire","fuoco di drago"
"truly treasures the company of others","apprezza veramente stare in compagnia altrui"
"food imports sign","insegna importazioni di cibo"
"I'm not feeling nostalgic.","Non ho nostalgia."
"meat market (255,0,0)","mercato della carne (255,0,0)"
"condensed","condensato"
"[C:4:0:1]Slumberous","[C:4:0:1]Assonnato"
"a pasture","un pascolo"
"When possible, ","Quando possibile, "
" to beasts"," alle bestie"
"I love raunchy poetry!","Adoro le poesie sconce!"
"Agitated Caged Creature","Creatura in gabbia agitata"
"Active","Attivo"
"We are saved from a fearsome enemy!","Siamo in salvo da un nemico temibile!"
"Sewer Access","Accesso alle fogne"
"is small and scrawny","ä piccolo e ossuto"
"positional notation","notazione posizionale"
"biting","mordendo"
"Seek Trap for Vermin Catch","Cerca Trappola per Catturare Animali dannosi"
"a horrible setting","un ambiente orribile"
"succumbed to infection","ha ceduto all'infezione"
"What will you say about the artifact's destruction?","Cosa dirai riguardo alla distruzione del manufatto?"
"Show up/down arrows on ramps at current elevation","Mostra frecce su/gió sulle rampe all'attuale quota"
"Let's entertain the world together!","Intratteniamo il mondo insieme!"
"a creature","una creatura"
"Image","Immagine"
"the parabolic mirror","lo specchio parabolico"
" commander"," comandante"
"Strand Extraction","Estrazione dei filoni"
"  Prepare for the Expedition to ","  Prepararsi per la spedizione a "
"This legendary hunt has saved us from a mighty enemy!","Questa caccia leggendaria ci ha salvati da un possente nemico!"
"Starving","Morendo di fame"
"Then click on the [C:6:0:0]Lever[C:7:0:0] and choose to link it to a [C:6:0:0]Bridge[C:7:0:0] or [C:6:0:0]Door[C:7:0:0].  This will lock the [C:6:0:0]Door[C:7:0:0] ","Poi clicca la [C:6:0:0]Leva[C:7:0:0] e scegli di collegarla al [C:6:0:0]Ponte[C:7:0:0] o [C:6:0:0]Porta[C:7:0:0].  Questo serrerÖ la [C:6:0:0]Porta[C:7:0:0] "
"protected","protetto"
"rumored protector of the weak","vociferato protettore dei deboli"
" print"," stampa"
"Making cave pops...","Popolando caverne..."
"I am the ","Io sono il "
"has a short broad body with little in the way of muscles","ha un corpo corto e ampio con poca muscolatura"
"The instrument has less than an octave of range, with ","Lo strumento ha meno di un'ottava di gamma, con "
"more prone to flights of fancy","pió incline a voli pindarici"
"Seek artifact","Cerca manufatto"
"square-chinned","mento quadrato"
" engaged me to frame "," mi ha ingaggiato per incastrare "
"lava mist","foschia lavica"
"Dead ","Morto "
" with an obstacle"," con un ostacolo"
"his","suo"
"unimproved ","non migliorato "
"Invader death aversion (six deaths)","Aversione alla morte dell'invasore (sei morti)"
"Tool","Strumento"
" associating helm out of range: "," associando elmetto fuori portata: "
"Considers poet","Considera poeta"
"Effect from Cause","Effetto dalla Causa"
"Drink alcohol","Bevi alcol"
"not having enough armor stands","non ha abbastanza supporti per armature"
", slain by a ",", ucciso da un "
"has a short, broad body stacked thick with muscles and lard","ha un corpo corto e largo, denso di muscoli e lardo"
" overthrown"," rovesciato"
"Farmer's Workshop","Bottega del Contadino"
"First caravan","Prima carovana"
" headwear"," copricapo"
"Put in chains","Incatena"
"daughter","figlia"
"Enable temperature","Abilita temperatura"
"Horizontal keyboard scroll tiles (fast)","Tessere di scorrimento orizzontale della tastiera (veloce)"
"slept on grass","ha dormito sull'erba"
"the part","la parte"
"medicine:method:lithotomy surgery","medicina:metodo:chirurgia litotomica"
"the atlas","l'atlante"
"Alternatively, you can reduce the number of swamp squares and regions required by the parameters.","In alternativa puoi ridurre il numero di caselle e regioni richieste di palude richieste dai parametri."
"Cloth Clothing Workshop","Bottega d'Abbigliamento in Stoffa"
"little willpower","poca forza di volontÖ"
"dots","punti"
"has","ha"
"Overall, the composition is great","Nel complesso la composizione ä ottima"
" strings.  "," corde.  "
"the construction and use of the warded lock","la costruzione e l'uso della serratura"
" is disturbed by this as someone who dislikes those that seek to acquire power over others"," ä disturbato da questo, in quanto non ama coloro che cercano di acquisire potere sugli altri."
"conical water clocks","orologi ad acqua conici"
"parabolas","parabole"
"a demand of unconditional surrender","una richiesta di resa incondizionata"
"The bond is broken!  Return to the Underworld and trouble us no more!","Il legame ä spezzato!  Torna negli Inferi e non disturbarci pió!"
"looks offended","pare offeso"
"a tomb","un sepolcro"
" gives"," da"
"is tiny, skinny and weak","ä piccolo, secco e debole"
"mercy","misericordia"
"mixed with","mescolato con"
"I'd like my room for another night.","Vorrei la mia stanza per un'altra notte."
"would be very thin but bears an enormous lardy burden","sarebbe molto esile ma sopporta un enorme fardello di lardo"
"I was near to a caged ","Ero vicino ad un ingabbiato "
"I don't remember what I believe...","Non ricordo in cosa credo..."
"a counting house","una Casa di conteggio"
"Dump item","Butta oggetto"
"The voice stays in the ","La voce rimane nel "
"Opening Ceremony","Cerimonia d'apertura"
"lightning","fulmine"
"A thief has stolen ","Un ladro ha rubato "
"Retire at this location (or rest a while)","Ritira in questa posizione (o riposa per un po')"
" leaps at "," balza verso "
"cut gems","gemme tagliate"
"travelers","viaggiatori"
"Tribute is being unloaded.  (A report is available.)","Il tributo viene scaricato.  (‘ disponibile un rapporto)."
" as the latter prefers to work alone"," poichÇ quest'ultimo preferisce lavorare da solo"
" partially realized"," parzialmente realizzato"
"Overcome paralysis","Superare la paralisi"
"Room completed (","Stanza completata ("
"thought of as two disjoint chords spanning a tritone and a perfect fourth","pensato come due accordi disgiunti che abbracciano un tritono e una quarta giusta"
"mathematics:numbers:division algorithm","matematica:numeri:algoritmo di divisione"
"Furrowed ","Solcato "
"the use of shadows to tell direction and time","l'uso delle ombre per indicare la direzione e il tempo"
"The world is safer for travelers when night creatures no longer stalk the darkness.","Il mondo ä pió sicuro per i viaggiatori quando le creature notturne non si aggirano pió nell'oscuritÖ."
"Squad Move","Squadra Muove"
"is private to the point of paranoia, unwilling to reveal even basic information about ","ä riservato fino alla paranoia, non ä disposto a rivelare nemmeno le informazioni di base su "
"is gigantic","ä gigantesco"
"Arena side","Lato arena"
"Ask for currency","Chiedi valuta"
"been encased in cooling lava.","stato racchiuso nella lava in raffreddamento."
"a leather shop","un negozio di cuoio"
"tribrachic","tribrachico"
"Add uniform","Aggiungi divisa"
"irritated","irritato"
"months ago","mesi fa"
"Claimed by local ","Rivendicato dai locali "
" and minerals..."," e minerali..."
"hospitality","ospitalitÖ"
"congruent triangles","triangoli congruenti"
"chain drives","catene di trasmissione"
"the condensation of ","la condensazione di "
" is speaking"," sta parlando"
"rule the world","governare il mondo"
"the adversary's refusal to form treaties","il rifiuto dell'avversario di stipulare trattati"
"quickly ","rapidamente "
"after being unable to pray","dopo essere stato incapace di pregare"
"cleaned self with soap","si ä lavato col sapone"
"many ","molti "
"Some surfaces like walls can be also climbed, but these require climbing skill to hold reliably.  ","Alcune superfici, come i muri, possono essere scalate, ma ciï richiede abilitÖ nell'arrampicata per mantenersi saldamente. "
"the Verge Escapement","lo Scappamento a verga"
"Waxing and Waning","Crescente e Calante"
"the Dioptra","la Diottra"
"Draw item","Estrai oggetto"
"Fill waterskin","Riempi otre"
" at "," a "
" on behalf of "," per conto di "
"Claim a forbidden item or building so it will be used by your citizens.","Reclama un oggetto o un edificio proibito in modo che possa essere utilizzato dai tuoi cittadini."
"These require a [C:6:0:1]Weapon[C:7:0:0], [C:6:0:1]Cage[C:7:0:0], or [C:6:0:1]Boulder[C:7:0:0] to function. ","Per funzionare, richiedono un'[C:6:0:1]Arma[C:7:0:0], una [C:6:0:1]Gabbia[C:7:0:0] o un [C:6:0:1]Masso[C:7:0:0]. "
"Poetic form","Forma poetica"
" branches"," rami"
"views competition as a crucial driving force in the world","vede la concorrenza come una forza motrice cruciale nel mondo"
"The world isn't always safe.  I can see the value in martial training, the beauty even, but it shouldn't be exalted.","Il mondo non ä sempre sicuro.  Riconosco il valore dell'addestramento marziale, persino la sua bellezza, ma non dovrebbe essere esaltato."
"Corpse","Cadavere"
"law","legge"
" sent "," inviato "
"This is the wrestling menu.  Here you can grab creatures and then execute a variety of wrestling moves.  You can also initiate defensive actions here.  ","Questo ä il menu di lotta. Qui puoi afferrare le creature e poi eseguire una serie di mosse di lotta. Qui puoi anche avviare azioni difensive. "
"was rescued","ä stato salvato"
"ferocious wild animal","animale selvatico feroce"
"Allow Necromancer Experiments","Consenti Esperimenti Negromante"
"the process of the formation of deltas at the mouths of rivers","il processo di formazione dei delta alle foci dei fiumi"
"No longer stunned","Non pió stordito"
"source reliability","affidabilitÖ della fonte"
"Economy trade trigger 3","Attivazione commercio economia 3"
"medicine:theory:specialized surgical instruments","medicina:teoria:strumenti chirurgici specializzati"
"'s mandate has ended.","suo mandato ä concluso."
"is average in size","ä di dimensioni medie"
"Lethal","Letale"
"must first be completed","dev'essere prima completato"
"The world generator is having trouble placing farming civilizations.  ","ColtivandoIl generatore del mondo ha problemi a collocare civiltÖ agricole.  "
"adopting a new pet","adottare un nuovo animale domestico"
"Ice Upward Track (SEW)","Ghiaccio Binario in Su (SEO)"
"Dedicated to ","Dedicato a "
"Once the pile is placed, click [C:5:0:1]Accept[C:7:0:0] and select the [C:5:0:1]All[C:7:0:0] option.","Quando la pila ä stata posizionata, fai clic su [C:5:0:1]Accetta[C:7:0:0] e seleziona l'opzione [C:5:0:1]Tutto[C:7:0:0]."
"Year to Begin Checking Megabeast Percentage","Anno per Iniziare Controllo Percentuale Megabestia"
"Move secondary selector up","Sposta il selettore secondario verso l'alto"
"was taken by a fell mood","ä stato preso da un pessimo umore"
" officials"," funzionari"
"Prepare easy meal","Prepara un pasto facile"
"orderly","ordinato"
" been knocked unconscious!"," reso inconscio!"
"Offering place","Luogo d'offerta"
"buried at site","sepolto nel sito"
"always scratches ","graffia sempre "
"justiciar","giustiziere "
"Associated Plot: ","Trama associata: "
"I feel enthusiastic!","Mi sento entusiasta!"
"Verifying terrain...","Verificando il terreno..."
" frame.]"," telaio.]"
"First you need building materials, like [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  ","Innanzitutto hai bisogno di materiali, come [C:6:0:1]Legna[C:7:0:0] o [C:6:0:1]Massi[C:7:0:0].  "
" the outfit."," il completo."
"was curious about ","era curioso riguardo a "
"Bone doctor","Ortopedico"
" has arrived."," ä arrivato."
"mathematics:geometry:similar and congruent triangles","matematica:geometria:triangoli simili e congruenti"
"I hear that a group calling itself ","Ho sentito che un gruppo che si fa chiamare "
"bring nightmares into reality","trasformato gli incubi in realtÖ"
"I guess I should be feeling ambivalent right now.","Credo che adesso dovrei sentirmi incerto."
"been beheaded.","stato decapitato."
"I dislike this.","Questo non mi piace."
"fellow athlete ","collega atleta "
"Identifier ","Identificatore "
"the construction and use of the scalpel","la costruzione e l'uso dello scalpello"
" steps in a square pattern"," passi in uno schema quadrato"
"infamous murderer","famigerato omicida"
" groups fled."," gruppi sono fuggiti."
"Popup: Perform","Popup: Esegui"
"well-crafted ","ben fatto "
"gem","gemma"
" rejected an offer of peace from "," ha rifiutato un'offerta di pace da parte di "
"There is also ","C'ä anche "
"will without fail turn any conversation to ","non mancherÖ di trasformare qualsiasi conversazione in "
"Macro, Break","Macro, Ferma"
"Exact matches only","Solo corrispondenze esatte"
"grime paste","pasta di sudicio"
"transformed into a ","trasformato in un "
"Considered a thief","Considerato un ladro"
"became the former spouse of","ä diventato l'ex coniuge di"
"works, darkly brooding...","lavora in modo cupamente meditabondo..."
"Move down to the east.","Spostati verso est."
"Are you hunting for treasure?","Siete a caccia di tesori?"
"globular","globulare"
"liquid cooking","cottura liquido"
"Cases","Casi"
"the Revolt","la Rivolta"
"Loading identities...","Caricamento delle identitÖ..."
"the wheel-and-axle","la ruota-e-asse"
"sharing one of the spouse's personal insight","condividere una delle intuizioni personali del coniuge"
"ores","minerali"
"Mental Illness","Malattie Mentali"
"respects fair-dealing and fair-play","rispetta le trattative eque e correttezza"
"Broker requested at depot","Mediatore richiesto al deposito"
"It really gets me down sometimes.","A volte mi deprime davvero."
"I had an intellectual discussion with somebody.","Ho avuto una discussione intellettuale con qualcuno."
"Loading general information...","Caricamento informazioni generali..."
"prostrating ","prostrandosi "
"Entombed","Tumulato"
"the pike","la picca"
"Bottomless Pit","Pozzo senza fondo"
"Limestone","Calcare"
"the army on the march","l'esercito in marcia"
"vehicle","veicolo"
"Orreries","Planetari meccanici"
" tercet"," terzina"
"a great dancer","un grande danzatore"
"insufficient progress toward goal","progressi insufficienti verso l'obiettivo"
" but the shot is blocked!"," ma il tiro viene bloccato!"
"their use of ","il loro utilizzo di "
"is dramatic","ä drammatico"
"Straight ","Dritto "
"Disorderly conduct","Disturbo della quiete pubblica"
" as a poetic form"," come forma di poesia"
"Click to rescue (creates new mission)","Clicca per salvare (crea una nuova missione)"
"Wilderness Roamer","Girovago delle terre selvagge"
"is trusting","ä fiducioso"
"surgical scissors","forbici chirurgiche"
"miserable","miserabile"
"is thin and very muscular","ä esile e molto muscoloso"
"the Notes","le Note"
"the classification of stars according to color","la classificazione delle stelle in base al colore"
", becoming a resident of ",", diventando residente di "
"plant","pianta"
