"more presumptious","더 주제넘은"
"has a very serious tone","매우 심각한 톤을 가지고"
"Do not mix similar food in barrels","통에 비슷한 음식을 섞지 마십시오."
"was executed","처형되었다"
" retch"," 구역질"
"valued the law and refused","법을 귀히 여기고 거절하다"
"we are willing to ask that you cap your tree-fells at ","우리는 당신이 당신의 나뭇가지에 모자를 씌울 것을 기꺼이 요청합니다 "
"Magma [","마그마 ["
"Present Participle","현재 분사"
"Tissue layer not added because no BP found: ","BP를 찾을 수 없기 때문에 조직 레이어가 추가되지 않음: "
"Raid of ","습격 "
"I played make believe.","나는 믿고 연주했다."
" look past illicit acts"," 불법 행위 과거를 봐"
"Attacker was victorious.","공격자가 승리했습니다."
" steps in a triangle pattern"," 삼각형 패턴의 단계"
"I accept your offer.","나는 당신의 제안을 받아들입니다."
"You have learned the power ""","당신은 힘을 배웠습니다 \"
"16 x 16","16x16"
" tearing"," 찢는다"
"bard","음유 시인"
"takes frequent interesting tangents","흥미로운 주제가 자주 등장한다"
"Recover ","다시 덮다 "
"games","계략"
"the work","작품"
" marched on "," 행진했다 "
"provide opportunities for acts of valor","용감한 행동의 기회를 제공하다"
"hero","영웅"
"a lack of desire for vengeance","복수심 부족"
"or [C:6:0:1]Plants[C:7:0:0] there.  The number of [C:6:0:1]Drink[C:7:0:0] rations can be seen at the top of the screen.","혹은 그곳에 [C:6:0:1]심으십시오[C:7:0:0].  The number of [C:6:0:1]술[C:7:0:0]의 재고량은 화면의 최상단에서 확인할 수 있습니다."
"I feel rejected.","나는 거부감을 느낀다."
"[C:6:0:1]Hungry","[C:6:0:1]배고픔"
"Legendary hero","전설적인 영웅"
"Workers dump skulls","노동자들이 두개골을 버린다"
"anvil","모루"
"suits of ","정장 "
"Espionage","스파이 활동"
"paternal grandfather","친할아버지"
"processes","프로세스"
"extremely long","매우 긴"
"Values decorum","예의를 중요시함"
" bandit gang from "," 산적 갱 "
"viewed item in own display","자신의 디스플레이에서 본 항목"
" created by "," 만든 "
"Saving artifacts...","유물 저장 중..."
"is broad-bodied, muscular and fat","통통하고 근육질이며 뚱뚱하다."
"Tower Top","타워 탑"
"Leather Clothing Pit","가죽의류 굴"
"the Triangles","삼각형"
" (activity cancelled)"," (활동 취소됨)"
"North","북쪽"
"handwear","장갑류"
"abandoned (75,50,20), border (50,50,50)","버려진 (75,50,20), 국경 (50,50,50)"
"Broker cannot access depot","중개인이 거래소에 접근할 수 없음"
"Loading belief systems...","신념 시스템 로드 중..."
"having pleased a noble","귀족을 기쁘게 한"
" my neighbor."," 내 이웃."
"withdrew from society","사회에서 물러났다"
"Overall, this is a terrible compilation of information","전반적으로 이것은 끔찍한 정보 모음입니다."
"being unaffected by the comments","댓글에 영향을 받지 않는"
" is fine."," 괜찮습니다."
"Serve Customer","접객한다"
"a dispute over the ownership of ","소유권에 대한 분쟁 "
"Yes, let's go.","좋아! 출발하자."
"Number of Non-Mountain Caves","비산 동굴의 수"
"no material","재료 없음"
" as a dance form"," 댄스 형식으로"
" sutures on "," 봉합 "
"skilled hunter","숙련된 사냥꾼"
" impaled on "," 에 찔려 "
"suicide drowned","자살 익사"
"I could not find anybody in charge to complain at.","나는 불평할 담당자를 찾을 수 없었다."
"Hammer Lord","망치 군주"
"the classification of alkali and acids","알칼리와 산의 분류"
"High willpower","높은 의지력"
"No controllable entity definitions available","사용 가능한 제어 가능 개체의 정의가 없음"
"Before you can create a military, you must appoint a [C:5:0:0]Militia Commander[C:7:0:0] ","군대를 생성하려면 먼저 [C:5:0:0]귀족 및 관리자[C:7:0:0] 메뉴에서 [C:5:0:1]민병대 사령관[C:7:0:0]을 임명해야 합니다. "
"is very frail with an extremely tall and skinny body","매우 키가 크고 마른 체형으로 매우 허약합니다."
"Salt water [","소금물 ["
"You are bound to me!","당신은 나에게 묶여 있습니다!"
"prime divisors","소인수"
"discourse on education","교육 담론"
"anguished","고뇌"
"Finish placing structures.","구조물 배치를 마칩니다."
"Subject revealed that in ","피험자는 "
"coasts","해안"
"Sorting items...","아이템 분류 중..."
"Chop","촙"
"Loading incidents...","인시던트 로드 중..."
"is assertive","단정적이다"
"Some [C:5:0:0]Administrators[C:7:0:0] will require [C:3:0:0]Offices[C:7:0:0] to perform their work. ","일부 [C:5:0:0]관리자[C:7:0:0]는 업무를 수행하기 위해 [C:3:0:0]사무실[C:7:0:0]을 필요로 합니다. "
"Saving adventure data...","모험 데이터 저장 중..."
"Never Married","미혼"
"disastrous ","비참한 "
"loyalty toward","에 대한 충성"
"a great deal of patience","강력한 인내심"
"yelling at somebody in charge","책임자에게 소리를 지르다"
" brought battle to "," 전투를 가져왔다 "
"High kinesthetic sense","높은 운동감각"
"burned up in a magma mist","마그마 안개로 타죽은"
"Distressed","고민"
"Crafts","공예"
"history:form:autobiographical adventure","역사:형태:자전적 모험"
"The citizenship petition of ","시민권 청원서 "
"Not enough low altitude locations after erosion: ","침식 후 저고도 장소가 충분하지 않음: "
"creation of a masterful illustration","뛰어난 일러스트레이션 생성"
"Must embark on map.","지도에 정착해야 합니다."
"Siege Operating","공성 작전"
"Legwear","레그웨어"
"Armorsmith","방어구장인"
" has guzzled some "," 일부를 꿀꺽 삼켰다 "
"talking with a sibling","동생과 이야기하기"
"Could not find path","경로를 찾을 수 없습니다."
"makes trills","트릴을 만든다"
"You reorganize your possessions.","소유물을 재구성합니다."
"quatrain","사행 연구"
"unbelievably strong","엄청나게 강력한"
"in order to be brought to safety","안전한 곳으로 데려가기 위해"
" the rest of"," 나머지"
"the cheese market","치즈 시장"
"How fragile we are...","우리가 얼마나 연약한지..."
"You tangle together and fall over!","서로 엉키고 넘어진다!"
"camel","낙타"
"unfortunate ","불행한 사람 "
"Undead Hunt","언데드 헌트"
"Diagnosis","진단"
"All of that practice is misspent effort.","그 모든 연습은 잘못된 노력입니다."
"doctor","의사"
"Ruins","유적"
"is tall, thin and very muscular","키가 크고 가늘고 매우 근육질입니다"
"a poor dining room","나쁜 식당"
"Elevation ","높이 "
"Dress wound","드레스 상처"
"panda","팬더"
"We banded up as ","우리는 다음과 같이 뭉쳤습니다. "
"Dissection","해부"
".  Their aggressive order must not be allowed to flourish.",". "
"the preparation and use of dedicated hospitals","전담병원 준비 및 이용"
"Considered a brawler","싸움꾼으로 간주됨"
" drone pipes produce"," 드론 파이프 생산"
"This is so embarrassing...","이거 너무 부끄럽다..."
"embarrassed","당황스러운"
"Storage path decrease (# of contained item cap)","저장 경로 감소(포함된 항목 상한 수)"
" bow is drawn across the string"," 활은 현을 가로질러 당겨진다."
" facts surrounding case in order to elicit information."," 정보를 도출하기 위해 사건을 둘러싼 사실."
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","이 중요한 지역은 시민들이 모여 친목을 도모하는 곳입니다. 결정적으로 만남의 장소는 선술집, 사찰, 병원 등이 자리 잡은 곳입니다."
"Reasoning","추리"
"good drink","좋은 음료"
"(now)","(지금)"
" developed an athletic rivalry"," 운동 경쟁을 개발"
"combustible materials","가연성 물질"
"with the water's flow.","물의 흐름으로."
"admire owned arranged building","소유 배치 건물에 감탄"
"Keyboardist","건반 연주자"
"Extravagant","사치부림"
"Competent","평범한"
"is grateful when others help ","다른 사람이 도와줄 때 감사한다 "
"Climate Zones","기후대"
"Claim your dead","아군의 시신 회수하기"
"the concept of death","죽음의 개념"
" batters "," 타자 "
"exec buried alive","산 채로 묻힌 간부"
"You've learned ","당신은 배웠다 "
"Cage small animal","우리 작은 동물"
" cancels "," 취소하다 "
"Weapon ","무기 "
"Converting smoothing blueprint to regular","스무딩 청사진을 일반 청사진으로 변환"
"Star Brightness","별의 밝기"
" to steal "," 훔치다 "
"Current amount: ","현재 금액: "
"I had an intellectual discussion with my spouse.","나는 배우자와 지적인 토론을 했다."
"holds nature to be of greater value than most aspects of civilization","자연은 문명의 대부분의 측면보다 더 큰 가치를 지닌다."
" feel"," 느낀다"
"I feel no hatred.","나는 증오를 느끼지 않는다."
"incredibly quick to heal","엄청나게 빠른 치유"
"Tropical Ocean","열대 바다"
"Inaccessible from first stop","첫 번째 정류장에서 접근 불가"
"after being unable to wander","방황할 수 없게 된 뒤에"
"mole","두더쥐"
"I told the story of ","의 이야기를 했어요 "
"narrative","이야기"
"I formed a bond with my animal training partner.","동물 훈련 파트너와 유대감을 형성했습니다."
" when "," 언제 "
"Tanner","무두장이"
"often share an underlying meaning","종종 근본적인 의미를 공유"
"active sermon promote value","능동적인 설교는 가치를 증진시킨다"
"This is humiliating.","이것은 굴욕적입니다."
" vibrate, producing the sound of the instrument.]"," 진동하여 악기 소리를 낸다.]"
"That doesn't make me unhappy.","그것은 나를 불행하게 만들지 않습니다."
" Track (NSEW)"," 추적(NSEW)"
"very high","매우 높다"
"is weak, short and skinny","약하고 짧고 마른 체형"
"You wish to make an offering?  We love gifts.","제물을 바치고 싶습니까? "
" looks around nervously and leans forward, speaking quietly."," 초조하게 주위를 둘러보며 몸을 앞으로 숙이고 조용히 말한다."
" from father"," from 아버지"
"very strong","매우 강한"
" murdered "," 살해 "
"Tropical Freshwater Lake","열대 민물 호수"
"a skilled hunter","숙련된 사냥꾼"
"the crystal lens","크리스탈 렌즈"
" maintains possession of the "," 의 소유권을 유지한다. "
"surveying for engineering","엔지니어링 측량"
"[C:7:0:0]No treatment scheduled","[C:7:0:0]치료 예정 없음"
"Start Medical Aid","의료 지원 시작"
"Resume construction","건설 재개"
"is incredibly tall and fat","엄청나게 키가 크고 뚱뚱하다"
"specks","얼룩"
" rhythm is made from "," 에서 만들어지는 리듬 "
"feeling hopeless","절망감"
"live ","라이브 "
"less open-minded","덜 열린 마음"
"after seeing a great beast","거대한 짐승을 본 뒤에"
"?  How curious...","오지 않았다구요? 이상하군요..."
" that tribute would no longer be offered "," 그 공물은 더 이상 제공되지 않을 것입니다 "
"tree... life","나무... 생명"
"admiration of power","권력에 대한 감탄"
"Name this building.","이 건물의 이름을 지정하십시오."
"aborted","중단"
"legendary murderer","전설적인 살인자"
"Loading local animal populations...","지역 동물 개체군 로드 중..."
" has claimed the position of "," 의 입장을 주장했다. "
"sees romance as one of the highest ideals","로맨스를 가장 높은 이상 중 하나로 본다."
"instrument","악기"
"No, I'm not grouchy.","아니, 난 시무룩하지 않아."
"Inspect the route.","경로를 검사하십시오."
"after dreaming of ","꿈을 꾸고 나서 "
"Erase a portion of this zone.","이 영역의 일부를 지웁니다."
"No messengers","메신저 없음"
"The topic being written about is ","쓰고 있는 주제는 "
"Forbidden area","금지 구역"
"Mechanical Clocks","기계식 시계"
"is incredibly short, skinny and frail","엄청나게 짧고 가늘고 연약합니다."
"Drop Kill at Butcher","정육점에서 드롭 킬"
"Decent Study","괜찮은 공부"
", but what does that mean now?",",하지만 지금 그게 무슨 뜻이야?"
"a wonderful drink","멋진 음료"
"the theory that the sun moves around the world","태양이 지구 주위를 돈다는 이론"
"thinks that the pursuit of the skills of warfare and fighting is a low pursuit indeed","전쟁과 전투의 기술을 추구하는 것이 형편없는 목표라고 생각합니다."
" words"," 단어"
"It is freezing cold!","추워요!"
"That doesn't insult me.","그것은 나를 모욕하지 않습니다."
"bear","곰"
"Carpenter's Workshop","목공 작업장"
" ring"," 반지"
"Drink (animal)","음료수(동물성)"
"I got caught in dust underground.","지하 먼지에 갇혔습니다."
"TOO MANY REGIONS","너무 많은 지역"
" is mangled beyond recognition.  "," 알아볼 수 없을 정도로 망가져 있습니다. "
"Catch live fish","활어 잡기"
"somewhat narrow","다소 좁다"
"'s been surprised","이(가) 놀랐다."
"  I am a little confused."," 조금 혼란 스럽습니다."
"I am not contented.","나는 만족하지 않는다."
"the status","상태"
"Here","여기"
"How I long for civilization...","내가 얼마나 문명을 갈망하는지..."
" (no temple)"," (신전 없음)"
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","당신의 시민들은 이 구역에서 먹을 것입니다. 특정 시민에게 배정되지 않을 때는 자신의 식당이 없는 시민들이 이곳에서 식사를 하게 됩니다. 테이블과 인접한 의자가 포함되어야 합니다."
"surprising of","의 놀라운"
"Ice Upward Track (SE)","아이스 업워드 트랙(SE)"
"You have a room here, and you can stay longer if you like.","여기에 방이 있고 원한다면 더 오래 머물 수 있습니다."
"a legendary","전설적인"
"Fidelity","충실도"
"[Viewed]","[봤음]"
"I am awoken to ","나는 깨어있다 "
" Prohibited"," 금지"
"I don't feel agitated.","나는 동요하지 않는다."
" left leg lift"," 왼쪽 다리 리프트"
" of them)"," 그들의)"
"commerce","상업"
"clothier","의류상"
"Don't repeat","반복하지 않음"
"There used to be writing on the item.  ","항목에 글이 있었습니다. "
"a new romance","새로운 로맨스"
"engineering:machine:bellows","엔지니어링:기계:벨로우즈"
"the construction and use of the chariot odometer","전차 주행 거리계의 구성 및 사용"
" has a slouching posture"," 구부정한 자세를 취하고 있다"
"hooked","갈고리"
"Track/Ramp (SW)","트랙/램프(SW)"
"is tall and thin with incredible muscles","키가 크고 날씬하며 놀라운 근육을 가지고 있습니다."
" was bent toward supernatural vengeance upon "," 에 대한 초자연적인 복수를 향해 기울어졌다 "
"as a scout","스카우트로"
"Are these gifts?  Do you wish to trade?","이것들은 선물입니까? "
"engineering","공학"
"turned child away from sanctuary","아이를 성역에서 멀리 돌렸다"
"  Try building a butcher's shop and slaughtering some livestock."," 정육점을 짓고 가축을 도살해 보세요."
" Bridge"," 다리"
"is very tall and muscular","매우 키가 크고 근육질이다"
"in order to find a relative","친척을 찾기 위해"
"engineering:construction:wood lamination","공학:건축:목재 라미네이션"
"unburied at battlefield","전장에 묻히지 않은"
"Hematite","적철석"
" own dead father"," 죽은 아버지"
"really poor focus","정말 빈곤한 집중력"
"Please guide me to ","안내해주세요 "
"legendary brawler","전설적인 싸움꾼"
"chronicle","연대기"
"works with menacing fury!","위협적으로 격분한 채 일한다!"
"Area and Circumference","면적과 둘레"
"the unsatisfactory conclusion","만족스럽지 못한 결론"
"Toggle whether this creature will be slaughtered at a butcher's shop when the opportunity arises.","기회가 되면 정육점에서 이 생물을 도살할지 여부를 전환하십시오."
"skips around a lot","내용을 많이 건너뛴다"
"Detailed mode","세부 옵션"
"Leather Clothing Workshop","가죽 옷 작업장"
"Try to keep an open mind.","열린 마음을 유지하십시오."
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Glassmaking requires fuel.","세 가지 종류의 유리를 사용하여 다양한 제작품을 만들 수 있습니다. 모래 수집 구역이 있다면, 이 작업장을 통해 모래 수집 작업을 시작할 수도 있습니다. 유리 제조에는 연료가 필요합니다."
"hf is dead","HF는 죽었다"
"Forge ","단조 공장 "
"Sorting music...","음악 분류 중..."
"It fills one with awe.","경외심으로 가득 차 있습니다."
"an agreement was cancelled","계약이 취소되었습니다"
"grating-voiced","삐걱거리는 소리"
"I desire that ","나는 그것을 원한다 "
"escaped from the prisons of","의 감옥에서 탈출"
" in prison."," 감옥에서."
"A battle!","전투다!"
" counterclockwise"," 시계 반대 방향"
"cheesemaker","치즈메이커"
"pillaging of ","약탈 "
"Need splint","부목이 필요하다"
"being tormented in nightmares by a dead pet","죽은 애완동물의 악몽에 시달림"
" into an obstacle and "," 장애물로 그리고 "
" will be recognized."," 인식됩니다."
" crumbles over the "," 조각나 뿌려진다 "
" (no archery target)"," (궁술 표적 없음)"
" Track (N)"," 트랙(N)"
"I slept on a pile of driftwood.","나는 유목 더미에서 잤다."
"less of a thrill seeker","덜 스릴 추구"
"Unnamed museum","이름 없는 박물관"
"being unable to petition for citizenship","시민권을 신청할 수 없습니다"
"Anguished","번민의"
"Drop Kill out Front","드롭 아웃 프론트"
".  What happened to bring us to this?",". "
" agreed to "," 동의하다 "
"sparkle","불꽃"
"edible processed plants market (255,200,200)","식용 가공 식물 시장 (255,200,200)"
"It would be hard to care less.","덜 신경 쓰는 것은 어려울 것입니다."
"Extract from land animal","동물에서 추출"
"the Sphere","구체"
" plectra"," 플렉트라"
"Alternate history","대체 역사"
"I drank water without a well.","나는 우물 없이 물을 마셨다."
"Milliseconds between macro instructions","매크로 명령 사이의 밀리초"
"purulent ","화농성 "
"specific armor","특정 갑옷"
"non-absorbent ","비흡수성 "
"Peace","평화"
"Sieger Mill","시거 밀"
" thrust a spire of slade up from the underworld, naming it "," 지하 세계에서 슬레이드의 첨탑을 찌르고 이름을 짓습니다. "
"feeling free","자유를 느낌"
"next to no empathy","공감 능력이 거의 없다"
"In this part of the poem, the end rhymes don't need to match perfectly.  ","시의 이부분에서는 끝운이 완벽하게 일치할 필요는 없다. "
"discourse on government","정부 담론"
"A spattering of ","튀는 "
"became the master of","의 주인이 되었다"
"Certainly.  It would be terrible to leave someone to fend for themselves after sunset.","물론이에요. 해가 진 후에 누군가를 혼자 살게 하는 것은 끔찍할 것입니다."
"I was not able to bring up the lack of jobs.","나는 일자리 부족을 꺼낼 수 없었다."
"Respected as a hunter","사냥꾼으로서 존경받는"
"a foiled embezzlement conspiracy","실패한 횡령 음모"
"heavy losses in battle","전투에서 큰 손실"
"When a route has a steep descent, consider using powered [C:6:0:0]Rollers[C:7:0:0], extra curves, track ""stops"" between [C:6:0:0]Stops[C:7:0:0] with various friction settings, or a worker to guide the vehicle.","경로에 가파른 내리막길이 있는 경우 모터 롤러, 추가 커브, 다양한 마찰 설정이 있는 정거장 사이의 트랙 '정지' 또는 차량을 안내할 작업자를 사용하는 것이 좋습니다."
"coffin","관"
"Pikemaster","파이크마스터"
"Assigned","할당됨"
" not be able to guide you personally.  It is the best I can do."," 개인적으로 안내해 드릴 수 없습니다. "
"a very clumsy kinesthetic sense","운동 감각이 매우 어설프다"
"I'm relieved.","나는 안심했다."
"I could not find the hammer.","나는 망치를 찾을 수 없었다."
"dejected","낙심한"
"Models","모델"
"Imported Wealth:","수입한 부:"
"blacksmith's shop sign","대장간 가게 간판"
"'s fire","의 불"
"free rooms","무료 객실"
"ethics as it regards the benefit of the state","국가의 이익을 생각하는 윤리"
"No available colony","사용 가능한 식민지 없음"
"pearlash paste","펄래쉬 페이스트"
"Process plants and work with livestock here.  Milk and shear animals, make cheese, and spin thread.","이곳에서 식물을 처리하고 가축 작업을 진행합니다. 동물의 젖을 짜고, 털을 깎고, 치즈를 만들고, 실을 뽑습니다."
"Crossbow","석궁"
"runs","뛰다"
"flask","물통"
"Mural Instruments","벽화 악기"
"Install colony when ready","준비가 되면 콜로니 설치"
"tends to ask others for help with difficult decisions","어려운 결정에 도움을 청하기 쉽다."
"There is no intelligence information yet.","아직 기밀 정보가 없다."
"active musical form","활동적인 음악 형식"
"Set hauling routes for minecarts.","광산 수레의 운반 경로를 설정합니다."
"Cloth (Desired): ","천(원하는 것): "
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.","항목의 금지된 상태를 전환합니다. 시민들은 금지된 물품이나 건물을 사용하지 않을 것입니다."
"View this item's sheet.","이 항목의 시트를 봅니다."
"color","색깔"
"fellow scholar ","동료 학자 "
"Generating world using parameter set ","매개변수 모음으로 월드 생성 "
"!  Best price in town","! "
"hiding ","숨는 "
"destroys","파괴하다"
"Natural savagery","자연의 야만성"
" and become a resident of "," 그리고 거주자가 되다 "
"Hero","영웅"
"Seek Building for Ammunition","탄약을 위한 건물 찾기"
"anesthesia","마취"
"after embezzling funds","자금을 횡령한 후"
" meets with "," 와 만난다 "
"office","사무실"
"What will you do about it?","당신은 그것에 대해 무엇을 할 것인가?"
"mathematician","수학자"
"Upright weapons are a nasty place for intruders to fall upon.  Can also be linked to levers or pressure plates to raise them into intruders.","박힌 무기들은 침입자가 떨어지기에 불쾌한 장소입니다. 레버나 압력판에 연결하여 침입자를 향해 밀어올릴 수도 있습니다."
"Need empty cage","빈 케이지 필요"
"We must not abandon ","우리는 포기하지 않을 것이다. "
"Bake clay objects here, as well as a few other useful materials.  Clay can also be collected here if you have a clay collection zone.  All tasks require fuel aside from clay collection.","이곳에서 점토와 다른 몇 가지 유용한 재료를 굽습니다. 점토 수집 구역이 있다면, 이 작업장을 통해 점토 수집 작업을 시작할 수도 있습니다. 점토 수집을 제외한 모든 작업에는 연료가 필요합니다."
" collapses!"," 붕괴!"
"Opening file...","파일을 여는 중..."
"In Custody","구금 중"
"Retorts","레토르트"
"beasts","수류"
"dragonfire","드래곤파이어"
"unfocused by unmet needs","필요가 충족되지 않아서 집중을 잃었다"
"[C:3:0:1]Sluggish","[C:3:0:1]느릿해짐"
"The geldables have been torn away!","고환이 찢어져버린다!"
"Bone Carver","뼈공예가"
"discourse on the nature of existence","존재의 본질에 대한 담론"
" to take up my position"," 내 자리를 차지하기 위해"
"mortified","굴욕당한"
"frozen lye","얼린 잿물"
" embraces "," 포옹 "
"splint","부목"
"1/2 day's travel","반나절 여행"
"Scale interface to fit grid height/width","폭/높이에 맞춰 인터페이스 크기를 조절"
"Everybody has their own way of life.","누구나 자신의 삶의 방식이 있습니다."
"a child was turned away from sanctuary","한 아이가 성소에서 쫓겨났습니다"
"I feel alienated.","나는 소외감을 느낀다."
"Frenetic","열광적"
"astronomy:height of tides vs moon and sun","천문학:조수 높이 vs 달과 태양"
"been slaughtered.","도축당했다."
"sharing a personal insight with the spouse","배우자와 개인적인 통찰력 공유"
"Such misery!","그런 불행!"
" massacring "," 학살하는 "
"Routine #","루틴 #"
"I bow to no one.","나는 누구에게도 절하지 않습니다."
"dance","춤"
"Seek Hunting Target","사냥 대상 찾기"
" tribute from "," 공물 "
"being forced to endure the decay of a sibling","형제자매의 부패를 견뎌내야 하는"
"Blowgun","블로우건"
"This doesn't scare me.","이것은 나를 두렵게 하지 않는다."
"Preaching","설교"
"is somewhat weak and has a body that is incredibly broad","다소 약하고 엄청나게 넓은 몸을 가지고 있습니다."
"good idea to keep your fortress clean.","요새를 깨끗히 유지하는데 좋은 생각 입니다."
"Wind Patterns","바람 패턴"
"Nobody could be punished for failing to obey my commands.","아무도 내 명령에 따르지 않는다고 벌을 받을 수는 없었다."
"medicine:method:fracture treatment","의학:방법:골절 치료"
"mouse","생쥐"
" has imposed a ban on certain exports."," 특정 수출을 금지했습니다."
"Exposed ","노출된 "
"a cloth shop","천 가게"
":bellows:bellows",":벨로우즈:벨로우즈"
"There is writing on this item which you have not read.","이 항목에 읽지 않은 글이 있습니다."
"At all pitches, the","모든 투구에서,"
"flying object","비행 물체"
" shattering"," 조각낸다"
"Restarts if completed, checked monthly","완료되면 다시 시작, 매월 확인"
"Vanished","사라진"
"Capture Small Pet","작은 애완 동물 캡처"
" breached "," 위반 "
" and others"," 그리고 남은 것들"
"Its nature is still an intriguing puzzle to the learned.  ","그것의 본질은 학식 있는 사람들에게 여전히 흥미로운 퍼즐이다. "
"had ambitions for which death is only a small obstacle","죽음이 단지 작은 장애물일 뿐인 야망이 있었다"
"The hate burns within me.","증오가 내 안에서 타오릅니다."
"Magma Kiln","마그마 가마"
"A criminal could not be properly punished.","범죄자를 제대로 처벌할 수 없습니다."
" via "," ~을 통해 "
"the enslavement","노예화"
" is the only other settlement to utilize the market there."," 그곳의 시장을 활용하는 유일한 다른 정착지입니다."
"less disdainful of advice","조언을 덜 경멸한다"
"I feel such shame.","나는 그런 부끄러움을 느낀다."
"This isn't distressing.","이것은 고통스럽지 않습니다."
"[C:6:0:0].Heavy bruising","[C:6:0:0].심한 타박상"
"Think abstractly","추상적 생각하기"
"Go to Cage","케이지로 이동"
"Ashery","잿간"
"Mechanical Compasses","기계식 나침반"
"If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various ","만약 당신이 충분한 층을 파낸다면 다양한 종류의 거의 무한한 양의 [C:6:0:1]바위[C:7:0:0]들을발견할 것이다. "
"swayable","흔들리는"
" own appearance and talents"," 자신의 외모와 재능"
" plotted to steal "," 훔칠 음모를 꾸몄다 "
"Custom Detail","맞춤 세부정보"
"Seek Gelding Building","겔딩 빌딩 찾기"
"bull","황소"
"a friend","친구"
"audacious creation","대담한 창조"
"Everything just so in its proper place!","모든 것이 적절한 위치에 있습니다!"
"Succumbed to infection","감염에 굴복"
" in becoming a permanent part of the living world"," 살아있는 세계의 영구적인 부분이 되는 것"
" item"," 물품"
"the construction and use of the ampoule","앰플의 구성과 사용"
"began dreaming of crafting a masterwork","걸작을 만드는 꿈을 꾸기 시작했습니다."
"Wounds","상처"
"Plants...","식물..."
"bring death to the world","세상에 죽음을 가져오다"
"-bearing ","-베어링 "
" buried "," 묻힌 "
"Are you sure?","확실합니까?"
"Cranks","크랭크"
"sees guile and cunning as indirect and somewhat worthless","교활함과 교활함을 간접적이고 다소 무가치한 것으로 본다."
"prefers that everyone live as harmoniously as possible","모두가 조화롭게 살아야한다."
"the word","단어"
"Hard Work","힘든 일"
"tolerance for differences","차이에 대한 관용"
"traction bench","트랙션 벤치"
"aggravated","악질적인"
"Negotiation","협상"
"Member","회원"
"There's nothing to be dejected about.","낙심할 것이 없습니다."
" Downward Track (NSE)"," 하향 트랙(NSE)"
"That did not shock me.","그렇게 충격적이지는 않군."
"the funnel","깔때기"
"more cautious","더 신중"
"How incredibly satisfying!","정말 만족스럽습니다!"
"writing container","쓰기 컨테이너"
"quite swollen","꽤 부어"
"Back to title","제목으로 돌아가기"
"The residency petition of ","거주 청원서 "
"Tough","강인함"
"Throwing a tantrum!","지랄발광을 한다!"
"Generating inorganics...","무기물 생성..."
"advisor","조언자"
"Spouse is nobility","배우자는 귀족이다"
"through visual cues","시각적 신호를 통해"
" nearly "," 거의 "
"Number of sites: ","사이트 수: "
"usable thief","사용 가능한 도둑"
"lousy intuition","형편없는 직관력"
"is swayed by emotional appeals","감정적 인 항소로 흔들린다."
"more gregarious","더 군집"
"the method of proof by contradiction","모순에 의한 증명 방법"
"the inheritance of ","상속 "
"burning","불타는"
"Ready to be split","분할 준비됨"
"disappointed","실망한"
"Animal Hauling","동물 운반"
"I'm content.","나는 만족한다."
"hillocks","언덕"
" into an obstacle!"," 장애물로!"
"Infamous thief","악명 높은 도둑"
"cloth... thread","천... 실"
"splayed out","펼쳐져"
"desires citizenship.","시민권을 원합니다."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","현재 높이에서 위아래로 계단통을 팝니다. 선택 범위는 여러 고도에 걸쳐 있어야 합니다. 타일을 클릭하고 고도를 변경한 후 다시 클릭합니다."
"There's so much to be done!","해야 할 일이 너무 많습니다!"
"Organizer","조직편제"
"subtle","미묘한"
"a noted killer","저명한 킬러"
"the construction and use of water-filled sphere as a lens","물로 채워진 구체의 구성 및 렌즈로서의 사용"
"being disturbed during sleep by loud noises","시끄러운 소음에 의해 수면 중에 방해받는"
"mathematics:algebra:balancing and completion","수학:대수:균형 및 완성"
"a horrible bedroom","끔찍한 침실"
"holds the idea of competition among the most important and would encourage it wherever possible","가장 중요한 것들 사이의 경쟁에 대한 생각을 가지고 있고 가능한 한 그것을 장려할 것입니다."
"talks to inanimate objects when ","무생물과 대화할 때 "
" and placed "," 배치 "
"play with toy","장난감을 가지고 놀다"
"the ransom of ","몸값 "
"disease and fouled water","질병과 오염된 물"
"has a long, thin frame strapped with incredible muscles","놀라운 근육으로 묶인 길고 얇은 프레임을 가지고 있습니다."
"Bone Carving","뼈 조각"
" from the dead"," 죽음에서"
"focused","집중"
"a world-wide cycle involving precipitation, oceans, rivers and other forms of water","강수, 바다, 강 및 다른 형태의 물흐름을 포함하는 세계의 선순환."
" reverted to a wild state!"," 야생 상태로 돌아왔습니다!"
"Blocks","벽돌"
"raw... green","원시... 녹색"
"has little interest in joking around","농담에 관심이 없다."
"Insurrection in ","내란 "
" Name Seed: "," 이름 시드: "
"and from the tile below the input tile.","그리고 입력 타일 아래의 타일에서."
"Zoom in","확대"
"the Liquids","액체"
