"major","comandante"
" is a sacred relic of our people."," es una reliquia sagrada de nuestro pueblo."
" is an heirloom of our people."," es una reliquia de nuestro pueblo."
" is the symbol of "," es el s¡mbolo de "
"our people","nuestra gente"
" is the property of our people."," Es propiedad de nuestro pueblo."
"[B]Pass this treasure into our possession, and we shall depart in peace.","[B] Pasa este tesoro a nuestra posesi¢n, y partiremos en paz."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: There is much to share...  (Information added to Civilizations/World Info)","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Hay mucho que compartir... (Informaci¢n a¤adida a Civilizaciones/Informaci¢n Mundial)"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: The world is the same as ever.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: El mundo es el mismo de siempre."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: I don't know very much about the outside world.  I wish I had more to tell you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: No s‚ mucho sobre el mundo exterior. Ojal  tuviera m s que contarte."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Peace is calling out to us.  How do you respond?","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: La paz nos est  llamando. ¨C¢mo respondes?"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: It's such a pleasant place you've carved out for yourselves...","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Es un lugar tan agradable que han creado para ustedes..."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Let's discuss the state of our current agreements...","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Analicemos el estado de nuestros acuerdos actuales..."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Let's discuss what we are willing to offer for your ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Hablemos de lo que estamos dispuestos a ofrecer para su "
"ship.","barco."
"  A need for [C:6:0:1]"," Una necesidad de [C:6:0:1]"
" [C:VAR:MEETING:ACTOR]is expected, and if you are able to provide some, the caravan will offer "," [C:VAR:MEETING:ACTOR]se espera, y si puede proporcionar algo, la caravana ofrecer  "
"% and ","% y "
"% respectively.  [C:4:0:1]This export agreement only applies to trades next year, not with any merchants currently present.","% respectivamente. [C:4:0:1] Este acuerdo de exportaci¢n solo se aplica a los comercios del pr¢ximo a¤o, no a los comerciantes presentes actualmente."
"%.  [C:4:0:1]This export agreement only applies to trades next year, not with any merchants currently present.","% [C:4:0:1] Este acuerdo de exportaci¢n solo se aplica a los comercios del pr¢ximo a¤o, no a los comerciantes presentes actualmente."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: The Mountainhomes have some need of the same goods you have requested, sadly, so there is no export agreement to be had.  We will still try to fill your needs as best we can.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Lamentablemente, Los Hogares de la Monta¤a necesitan los mismos bienes que usted solicit¢, por lo que no existe un acuerdo de exportaci¢n. Seguiremos tratando de satisfacer sus necesidades lo mejor que podamos."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Well then, we have finalized the import agreement.  Feel free to go over the documents.[B]","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Pues bien, hemos finalizado el acuerdo de importaci¢n. Si‚ntase libre de revisar los documentos. [B]"
" requested, priced at "," solicitado, con un precio de "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Remember, trade agreements strengthen bonds.  Please consider an import agreement next year.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Recuerde, los acuerdos comerciales fortalecen los lazos. Considere un acuerdo de importaci¢n el pr¢ximo a¤o."
"Merit deserves a reward, and I come empowered to establish this colony as an official land of our realm.[B]","El m‚rito merece una recompensa, y vengo facultado para establecer esta colonia como una tierra oficial de nuestro reino.[B]"
"Can you imagine the trade wagons?  Of course, there are responsibilities, and the nobility must live well.[B]","¨Te imaginas los carros de comercio? Por supuesto, hay responsabilidades, y la nobleza debe vivir bien.[B]"
"Do you have anyone suitable to recommend for elevation?","¨Tienes a alguien adecuado que recomendar para la elevaci¢n?"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: You continue to impress!  I have come empowered to elevate this land in the eyes of our realm.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: ­Sigues impresionando! He venido facultado para elevar esta tierra a los ojos de nuestro reino."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Nosotros podemos separarnos a lo sumo "
" trees, butcher."," arbol, carnicero."
"Whatever possessed you to brave these wilds, where our animal friends are even larger than your kind than usual, we do not know.  But know that this land is sacred to us, these trees more than any others.","Lo que sea que te haya pose¡do para enfrentarte a estas tierras salvajes, donde nuestros amigos animales son incluso m s grandes que los de tu especie, no lo sabemos. Pero sepa que esta tierra es sagrada para nosotros, estos  rboles m s que cualquier otro."
"We elves are partial in particular to the trees in the forests surrounding your lands.","Nosotros, los elfos, somos parciales en particular con los  rboles de los bosques que rodean vuestras tierras."
"  Although we are loath to spare a single branch to your senseless slaughter, "," Aunque somos reacios a dedicar una sola rama a su masacre sin sentido, "
"we are willing to ask that you cap your tree-fells at ","estamos dispuestos a pedirle que cubra sus talas de  rboles en "
" until we next meet.  "," hasta la pr¢xima vez que nos encontremos. "
"I will try to return next year as I am able.","intentar‚ volver el pr¢ximo a¤o, como ya dije"
"  And beware."," Y ten cuidado"
"Set conditions for ","Establecer condiciones para "
"(Vehicle moved to next stop if any condition triggered.)","(El veh¡culo se desplaza a la siguiente parada si se activa alguna condici¢n)."
"west","Oeste"
"east","este"
"south","sur"
"north","norte"
"immediately","inmediatamente"
"in 1 day","en 1 dia"
" days"," dias"
"when full","cuando este lleno"
"always (at most 100%)","siempre (al menos 100%)"
"when ","cuando "
"always (at least 0%)","siempre (al menos 0%)"
"when empty","cuando este vacio"
"desired items","art¡culos deseados"
"any items","alg£n objeto"
"1 day","1 d¡a"
"You have no vehicles.","Tu no tienes veh¡culos."
"Choose a vehicle for ","Elige un veh¡culo para "
"Inaccessible from first stop","Inaccesible desde la primera parada."
"Choose symbols for the position holder to carry or wear.","Elija s¡mbolos para que el titular de la posici¢n los lleve o los use."
"Leave Vacant","Dejar vacante"
"No relevant skills","sin habilidades relevantes"
" (traveling)"," (viajando)"
"chest","cofre"
"cabinet","armario"
"weapon rack","estante de armas"
"armor stand","Soporte de armadura"
"Dining Room","Comedor"
"Throne Room/Office","Habitaci¢n del Trono/Oficina"
"Make ","Hacer "
"Export of ","Exportar de "
" Prohibited"," Prohibido"
"Highest Precision","La m s alta precisi¢n posible"
"High Precision","Alta Precisi¢n"
"Medium Precision","Media Precisi¢n"
"Low Precision","Baja Precisi¢n"
"Lowest Precision","La m s baja precisi¢n posible"
"Stocks amount display: ","Visualizaci¢n de la cantidad de existencias: "
"All counts accurate","Todos los recuentos exactos"
"Your bookkeeper has done enough work to attain ","Su contador ha trabajado lo suficiente para lograrlo "
"highest precision","la m s alta precisi¢n posible"
"high precision","alta precisi¢n"
"medium precision","media precisi¢n"
"low precision","baja precisi¢n"
"Your bookkeeper needs to work in an office to improve precision","Su contador necesita trabajar en una oficina para mejorar la precisi¢n"
"The stockpile records are ","Los registros del almac‚n son "
"% updated toward the next precision level.","% de actualizaci¢n hasta el siguiente nivel de precisi¢n."
"Members of the nobility have required rooms and can make demands. They cannot be reassigned.","Los miembros de la nobleza han requerido habitaciones y pueden hacer demandas. No se pueden reasignar."
"Administrators handle various aspects of your fortress and can be reassigned. Many administrators also require rooms.","Los administradores manejan varios aspectos de tu fortaleza y pueden ser reasignados. Muchos administradores tambi‚n requieren salas."
"No food to cook or brew (are you in trouble?)","No hay comida para cocinar o preparar (¨est s en problemas?)"
"Everybody does this","Todos hacen esto"
"Only selected do this","Solo los seleccionados hacen esto"
"Nobody does this","nadie hace esto"
"Add new work detail","Agregar nuevo detalle de trabajo"
"Custom Detail ","Detalle personalizado "
"Custom Detail","Detalle personalizado"
"Filter box","Caja de filtro"
"Text","Texto"
"Number","N£mero"
"Cook","cocinar"
"Brew","Elaborar cerveza"
" Meat/Fish/Other"," Carne/Pescado/Otro"
" Drinks"," Bebidas"
" Seeds"," Semillas"
" Veg/Fruit/Leaves"," Verduras/frutas/hojas"
"No Ingredients","Sin ingredientes"
"You have no appropriate ingredients.","No tienes los ingredientes apropiados."
"The wet season has arrived!","­La temporada h£meda ha llegado!"
"Automated workshops","Talleres automatizados"
"Hauling","Transportar"
"Sieges and forbidding","Asedios y prohibiciones"
"Chores","Quehaceres"
"No automatic weaving","Sin tejido autom tico"
"Do not automate kitchen","No automatices la cocina"
"Do not automate tannery","No automatice la curtidur¡a"
"Do not automate kiln","No automatice el horno"
"Do not automate smelter","No automatice la fundici¢n"
"Automatically weave all thread","Tejer autom ticamente todos los hilos"
"Automatically weave dyed thread","Tejer autom ticamente hilo te¤ido"
"Use only dyed cloth","Usa solo tela te¤ida"
"Use any cloth","Usa cualquier tela"
"Automatically collect webs","Recolectar redes autom ticamente"
"No automatic web collection","Sin recopilaci¢n autom tica web"
"Slaughter any marked animal","Matar cualquier animal marcado"
"No automatic slaughter","Sin sacrificio autom tico"
"Automatically butcher carcasses","Carnicer¡a autom tica de canales"
"No automatic butchery","Sin carnicer¡a autom tica"
"Automatically clean fish","Limpia autom ticamente el pescado"
"No automatic fish cleaning","Sin limpieza autom tica de pescado"
"Automate kitchen","automatizar la cocina"
"Automate tannery","Curtidur¡a automatizada"
"Automate kiln","horno automatico"
"Automate smelter","Automatizar fundici¢n"
"Automate other shops","Automatizar otras tiendas"
"Do not automate other shops","No automatices otras tiendas"
"Workers ignore bodies","Los trabajadores ignoran los cuerpos"
"Workers ignore furniture","Los trabajadores ignoran los muebles"
"Workers ignore food","Los trabajadores ignoran la comida"
"Workers ignore animals","Los trabajadores ignoran a los animales"
"Workers gather animals","Los trabajadores recogen animales"
"Workers gather food","Los trabajadores recogen comida"
"Workers gather furniture","Los trabajadores recogen muebles"
"Workers gather bodies","Los trabajadores recogen cuerpos"
"Workers gather minerals","Los trabajadores recogen minerales"
"Workers gather wood","Los trabajadores recolectan madera"
"Workers ignore wood","Los trabajadores ignoran la madera"
"Workers save corpses","Los trabajadores guardan a los cad veres"
"Workers ignore outdoor vermin remains","Los trabajadores ignoran los restos de alima¤as."
"Workers ignore outdoor refuse","Los trabajadores ignoran los desechos que estan al aire libre"
"Workers gather refuse","Los trabajadores re£nen basura"
"Workers ignore refuse","Los trabajadores ignoran la basura"
"Workers gather outdoor refuse","Los trabajadores recolectan basura al aire libre"
"Workers gather outdoor vermin remains","Los trabajadores recogen restos de alima¤as."
"Workers dump corpses","Trabajadores arrojan cad veres"
"Workers dump skulls","Los trabajadores arrojan cr neos"
"Workers save skulls","Los trabajadores guardan los cr neos"
"Workers dump bones","Los trabajadores arrojan huesos"
"Workers save bones","Los trabajadores guardan los huesos"
"Workers dump shells","Los trabajadores arrojan conchas"
"Workers save shells","Los trabajadores ahorran conchas"
"Workers dump skins","Los trabajadores arrojan pieles"
"Workers save skins","Los trabajadores guardan pieles"
"Workers dump hair and wool","Los trabajadores arrojan pelo y lana"
"Workers save hair and wool","Los trabajadores ahorran pelo y lana"
"Workers dump other objects","Los trabajadores vierten otros objetos"
"Workers save other objects","Los trabajadores guardan otros objetos"
"Claim your death items","Reclama tus art¡culos de muerte"
"Claim your dead","Reclama a tus muertos"
"Claim used ammunition","Reclamar municiones usadas"
"Forbid used ammunition","Prohibir municiones usadas"
"Forbid used ammunition during sieges","Prohibir las municiones usadas durante los asedios"
"Forbid your dead","Prohibir a tus muertos"
"Forbid your dead during sieges","Proh¡be a tus muertos durante los asedios"
"Forbid your death items","Prohibir tus art¡culos de muerte"
"Forbid your death items during sieges","Proh¡ba sus art¡culos de muerte durante los asedios"
"Forbid other non-hunted dead","Prohibir otros muertos no cazados"
"Forbid other non-hunted dead during sieges","Prohibir otros muertos no cazados durante los asedios"
"Claim other dead","Reclamar otra muerte"
"Forbid other death items","Prohibir otros art¡culos de muerte"
"Forbid other death items during sieges","Prohibir otros art¡culos de muerte durante los asedios."
"Claim other death items","Reclama otros art¡culos de muerte"
"Forbid floor/wall cleaning","Prohibir la limpieza de suelos/paredes"
"Forbid floor/wall cleaning during sieges","Prohibir la limpieza de suelos y paredes durante los asedios."
"Allow floor/wall cleaning","Permitir limpieza de piso/pared"
"Forbid trap cleaning","Prohibir limpieza de trampas"
"Forbid trap cleaning during sieges","Prohibir la limpieza de trampas durante los asedios."
"Allow trap cleaning","Permitir limpieza de trampas"
"Forbid trap rearming","Prohibir rearmar trampas"
"Forbid trap rearming during sieges","Prohibir el rearme de trampas durante los asedios"
"Allow trap rearming","Permitir el rearme de trampas"
"Forbid cages from sprung traps","Prohibir jaulas de trampas con resortes"
"Forbid cages from sprung traps during sieges","Prohibir jaulas de trampas saltadas durante asedios"
"Claim cages from sprung traps","Reclamar jaulas de trampas con resortes"
"Forbid toppled building items","Prohibir elementos de construcci¢n derribados"
"Forbid toppled building items during sieges","Prohibir elementos de construcci¢n derribados durante los asedios"
"Claim toppled building items","Reclamar elementos de construcci¢n derribados"
"Forbidding of death objects occurs at time of death.","La prohibici¢n de objetos de muerte ocurre en el momento de la muerte."
"Children do chores","Los ni¤os hacen tareas"
"Children don't do chores","Los ni¤os no hacen tareas"
"There are no children","No hay ni¤os"
"to do your chores.","para hacer tus tareas."
"Fish only in designated zones","Pesque solo en las zonas designadas"
"Prefer zones for fishing","Zonas preferidas para la pesca"
"Drink water only from designed zones","Bebe agua solo de las zonas designadas"
"Prefer zones for water drinking","Zonas preferidas para beber agua"
"Mix similar foods in barrels","Mezclar alimentos similares en barriles."
"Do not mix similar food in barrels","No mezcle alimentos similares en barriles"
"Everybody harvests","Todos cosechan"
"Only farmers harvest","S¢lo los agricultores cosechan"
"Announce all job cancellations","Anunciar todas las cancelaciones de trabajos"
"Announce most job cancellations","Anunciar la mayor¡a de las cancelaciones de trabajos"
"Announce some job cancellations","Anunciar algunas cancelaciones de trabajo"
"Announce no job cancellations","No anunciar cancelaciones de trabajo"
"Set hunter ammunition","Establecer munici¢n de cazador"
"Stone type","Tipo de piedra"
"Magma-safe","Libre-Magma"
"Economic uses","Usos econ¢micos"
"Select to use in non-economic jobs.","Seleccione para usar en trabajos no econ¢micos."
"Economic stone","Piedra econ¢mica"
"You know of no appropriate stones.","No conoces piedras apropiadas."
" has entered a martial trance!"," ha entrado en un trance de violencia!"
"Choose a symbol for the squad.","Elige un simbolo para el escuadron."
"Choose a symbol for the detail.","Elige un simbolo para el detalle."
"Choose a symbol for the burrow.","Elige un simbolo para la madriguera."
"Symbol","S¡mbolo"
"Background","Fondo"
"Foreground","primer plano"
"broke even","se rompi¢ en partes iguales"
"the loss of a diplomat of ","la p‚rdida de un diplom tico de "
"Done editing","Edicion realizada"
"(unnamed orders)","(¢rdenes sin nombre)"
"Editing routine ","Editando rutina "
"Equip/orders only","Equipo/pedidos solamente"
"Equip/always","Equipar/siempre"
"Sleep/barracks at need","dormir/barracas cuando sea necesario"
"Sleep/barracks at will","dormir/barracas a su antojo"
"Sleep/room at will","Dormir/cuarto a voluntad"
"Minimum number of","N£mero m¡nimo de"
"soldiers to follow","soldados a seguir"
"new order","nueva orden"
"Vacant position","Posici¢n vacante"
"Back to squads","Volver a los escuadrones"
"Assign leader","Asignar l¡der "
"Assign position ","Asignar posici¢n "
"Cannot appoint","No puede nombrar"
"until commander","Hasta el comandante"
"is selected","Seleccionado"
"You must appoint","Debes nombrar"
"somebody first","alguien primero"
"You must appoint a","Debe designar un"
"to create a squad.","para crear un escuadr¢n."
"Create new squad","Crear nuevo escuadr¢n"
"Multiple orders","M£ltiples pedidos"
"No special orders","Sin pedidos especiales"
"Routine:","Rutina:"
" target"," Objetivo"
"No target","Sin objetivo"
"Move: click on the map.","Mover: haga clic en el mapa."
"Select a squad or squad","Selecciona una escuadra o escuadr¢n"
"member to give orders,","miembro para dar ¢rdenes,"
"change equipment, and","cambio de equipo y"
"assign schedules.","asignar horarios."
"Equip","Equipar"
"Schedule","Horario"
"Choose a uniform for the","Elige un uniforme para el"
"selected positions.","posiciones seleccionadas"
"selected squads.","escuadrones seleccionados."
"squad.","Escuadra"
"No uniform","No uniforme"
"Create which squad?","¨Crear qu‚ escuadr¢n?"
"'s squad","escuadr¢n"
"appointed by ","designado por "
"Military routines","Rutinas militares"
"Routine #","Rutina #"
"Add new routine","A¤adir nueva rutina"
"Really delete this routine?","Eliminar realmente esta rutina?"
"Current month","Mes actual"
"Add/edit routines (columns)","poner/editar rutina(columna)"
"View monthly schedule","Ver el calendario mensual"
"Monthly orders","Ordenes mensuales"
"specific armor","armadura espec¡fica"
"specific helm","yelmo espec¡fico"
"specific pants","pantalones espec¡ficos"
"specific gloves","guantes espec¡ficos"
"specific shoes","zapatos espec¡ficos"
"specific shield","escudo determinado"
"specific weapon","arma determinada"
"individual choice","elecci¢n individual"
", weapon",", arma"
"indiv choice, melee","elecci¢n individual, melee"
"indiv choice, ranged","elecci¢n individual, a distancia"
" (foreign)"," (Extranjero)"
"plant fiber","fibra vegetal"
"any material","cualquier material"
"any color","cualquier color"
" (Dye)"," (Te¤ir)"
"missing item","objeto perdido"
"Position ","Posici¢n "
"Adding uniform","Agregando uniforme"
"(enter name here)","(introducir nombre aqu¡)"
"Confirm and save uniform","Confirmar y guardar uniforme"
"New bodywear","Nueva ropa interior"
"New headwear","Gorros nuevos"
"New legwear","Mallas nuevas"
"New handwear","Nuevo guante"
"New footwear","Calzado nuevo"
"New shield","Nuevo escudo"
"New weapon","Nueva arma"
"Uniform replaces clothing","El uniforme reemplaza la ropa"
"Uniform worn over clothing","Uniforme usado sobre la ropa"
"Exact matches only","Solo coincidencias exactas"
"Partial matches okay","Se admiten coincidencias parciales"
" individual choice"," elecci¢n individual"
" indiv choice, melee"," elecci¢n individual, melee"
" indiv choice, ranged"," elecci¢n individual, a distancia"
"The voice is confined to the ","La voz se limita a "
" assigned items"," art¡culos asignados"
"Not yet assigned","A£n no asignado"
"No assigned items","Sin elementos asignados"
"Mat","Alfombrilla"
" concluded "," concluido "
"Hunters","Cazadores"
"Add ammunition","A¤adir munici¢n"
"Supplies carried by each squad member","Suministros llevados por cada miembro del escuadr¢n"
"3 food","3 comidas"
"2 food","2 comidas"
"1 food","1 comidas"
"No food","Sin comida"
"No water","Sin agua"
"Assign uniform","Asignar uniforme"
"Add uniform","A¤adir uniforme"
"Supplies","Suministros"
"Update equipment","Mejorar equipamiento"
"Custom uniform","Personalizar uniforme"
"Work Details","Detalles del trabajo"
"Standing orders","àrdenes permanentes"
"Stone use","Uso de piedra"
"Violation of production order","Violaci¢n de la orden de producci¢n"
"Violation of export prohibition","Violaci¢n de la prohibici¢n de exportar"
"Violation of job order","Violaci¢n de la orden de trabajo"
"Conspiracy to alow labor","Conspiraci¢n para permitir el trabajo"
"Disorderly conduct","Conducta desordenada"
"Building destruction","Destrucci¢n de edificios"
"Attempted theft","Intento de robo"
"Attempted murder","Tentativa de asesinato"
"Kidnapping","Secuestro"
"Attempted kidnapping","Intento de secuestro"
"Injured party: ","Parte perjudicada: "
"Convicted: ","Convicto "
"Unknown convict.","Convicto desconocido"
"Unsolved.","Sin resolver."
"Sort units by how involved they are in the crime.","Ordene las unidades seg£n su grado de participaci¢n en el crimen."
"1 witness","1 testigo"
" witnesses"," Testigos"
"No witnesses","Sin testigos"
"Open cases","Casos abiertos"
"Cases","Cajas"
"Closed cases","Casos cerrados"
"Cold cases","Casos sin resolver"
"Fortress guard","Guardia de la fortaleza"
"Cage/Chain Reqs","Requisitos de jaula/cadena"
"Desired metal cages and chains in dungeons: ","Jaulas y cadenas de metal deseadas en mazmorras: "
"Guards List","Lista de guardias"
"Convicts","Convictos"
"Convict list","Lista de convictos"
"No sentence pending.","Sin sentencia pendiente."
" hammerstrike"," golpe de martillo"
"Beating.","Paliza."
" day"," D¡a"
" in prison."," En prisi¢n."
"Padding","Relleno"
"Officer: ","oficinista: "
"none assigned","ninguno asignado"
"Interrogate","Interrogar"
"Interrogate suspects for wrongdoing.","Interrogar sospechoso por Irregularidades"
"Convict","Condenar"
"Convict a suspect for this crime.","Condenar al sospechoso por este crimen"
"Witness: ","Testigo: "
"Implicates: ","Implica: "
"Accuses: ","Acusados: "
"Saw ","Sierra "
" admire the object."," admirar el objeto."
"Saw that the object was disturbed.","Vio que el objeto estaba perturbado."
"Saw that the object was missing.","Vio que faltaba el objeto."
"Found the body.","Encontrado el cuerpo"
"Reported: ","Reportado: "
"No witnesses.","Sin testigos."
"Interview Scheduled","Entrevista programada"
"Already interviewed","Ya ha sido interrogado"
"There is no intelligence information yet.","Todav¡a no hay informaci¢n de inteligencia."
"If a crime involves a conspiracy, an interrogation may reveal the plot.","Si un delito implica una conspiraci¢n, un interrogatorio puede revelar el complot."
"Interrogations","Interrogatorios"
"Selected actor: ","Actor seleccionado: "
"Prepared by ","Preparado por "
"No interrogation reports.","No hay informes de interrogatorio."
"[C:7:0:1]Received ","[C:7:0:1]Recibido "
"[C:7:0:1:]Received ","[C:7:0:1]Recibido "
" cast"," lanzar"
"[C:6:0:1]Received ","[C:6:0:1]Recibido "
" splint on "," entablillar en "
" dressing on "," vistiendose "
"[C:4:0:1]Received ","[C:4:0:1]Recibido "
" sutures on "," suturas en "
" amputated"," amputado"
"Rotten tissue excised from ","Tejido podrido extirpado de "
"[C:4:0:1]Compound fracture of ","[C:4:0:1]Fractura compuesta de "
" repaired"," reparada"
"[C:4:0:1]Bleeding stopped","[C:4:0:1]Sangrado detenido"
"[C:6:0:1]Had ","[C:6:0:1]Ten¡a "
" set"," establecer"
"[C:6:0:1]Placed in traction","[C:6:0:1]Colocado en tracci¢n"
"[C:7:0:1]Evaluated","[C:7:0:1]Evaluado"
"[C:7:0:1]Brought to rest","[C:7:0:1]Llevado a descansar"
"[C:3:0:1]Cleaned","[C:3:0:1]Limpiado"
"[C:7:0:0:]Diagnosed with ","[C:7:0:0:]Diagnosticado con "
"[C:7:0:0]No medical history","[C:7:0:0]Sin antecedentes m‚dicos"
"[C:7:0:1]Diagnosis required","[C:7:0:1]Diagn¢stico requerido"
"[C:7:0:1]Crutch required","[C:7:0:1]Se requiere muleta"
".[C:5:0:1]Rotten -- inoperable",".[C:5:0:1]Podrido -- inoperable"
".[C:3:0:1]Needs cleaning",".[C:3:0:1] Necesita limpieza"
".[C:4:0:1]Needs surgery",".[C:4:0:1]Necesita cirug¡a"
".[C:2:0:1]Needs sutures",".[C:2:0:1]Necesita suturas"
".[C:6:0:1]Needs setting",".[C:6:0:1]Necesita configuraci¢n"
".[C:7:0:0]Needs dressing",".[C:7:0:0]Necesita vestirse"
".[C:6:0:1]Needs traction",".[C:6:0:1]Necesita tracci¢n"
".[C:6:0:1]Needs immobilization",".[C:6:0:1]Necesita inmovilizaci¢n"
"[C:7:0:0]No treatment scheduled","[C:7:0:0]Ning£n tratamiento programado"
"[C:5:0:1].Gelded","[C:5:0:1].Castrado"
"[C:2:0:1].Spilled","[C:2:0:1].Derramado"
"[C:5:0:1].Butchered","[C:5:0:1].Masacrado"
"[C:4:0:1].Major artery torn","[C:4:0:1].Arteria principal desgarrada"
"[C:4:0:1].Artery torn","[C:4:0:1].Arteria desgarrada"
"[C:4:0:1].Heavy bleeding","[C:4:0:1].Sangrado abundante"
"[C:4:0:1].Bleeding","[C:4:0:1].Sangrado"
"[C:7:0:1].Motor nerve severed","[C:7:0:1].Nervio motor amputado"
"[C:7:0:1].Sensory nerve severed","[C:7:0:1].Nervio sensorial amputado"
"[C:6:0:1].Torn tendon","[C:6:0:1].Tend¢n desgarrado"
"[C:6:0:1].Strained tendon","[C:6:0:1].Tend¢n distendido"
"[C:6:0:1].Bruised tendon","[C:6:0:1].Tend¢n magullado"
"[C:6:0:1].Torn ligament","[C:6:0:1].Ligamento desgarrado"
"[C:6:0:1].Sprained ligament","[C:6:0:1].Ligamento torcido"
"[C:6:0:1].Bruised ligament","[C:6:0:1].Ligamento magullado"
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Fractura superpuesta (en tracci¢n)"
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Fractura superpuesta"
"[C:6:0:1].Needs setting","[C:6:0:1].Necesita configuraci¢n"
"[C:4:0:1].Compound fracture","[C:4:0:1].Fractura compuesta"
"[C:4:0:1].Cut apart","[C:4:0:1].Separar"
"[C:4:0:1].Smashed apart","[C:4:0:1].Aplastado"
"[C:4:0:1].Broken apart","[C:4:0:1].Roto"
"[C:4:0:1].Torn apart","[C:4:0:1].Destrozado"
"[C:4:0:1].Cut open","[C:4:0:1].Corte abierto"
"[C:4:0:1].Smashed open","[C:4:0:1].Aplastado abierto"
"[C:4:0:1].Broken open","[C:4:0:1].Rotura abierta"
"[C:4:0:1].Torn open","[C:4:0:1].Desgarrado"
"[C:6:0:0].Dented","[C:6:0:0].Abollado"
"[C:6:0:0].Heavy bruising","[C:6:0:0].Moretones intensos"
"[C:6:0:0].Moderate bruising","[C:6:0:0].Moratones moderados"
"[C:6:0:0].Light bruising","[C:6:0:0].Hematomas leves"
"[C:6:0:0].Serious burn","[C:6:0:0].Quemadura grave"
"[C:6:0:0].Moderate burn","[C:6:0:0].Quemadura moderada"
"[C:6:0:0].Minor burn","[C:6:0:0].Quemadura menor"
"[C:6:0:0].Serious frost-bite","[C:6:0:0].Congelaci¢n grave"
"[C:6:0:0].Moderate frost-bite","[C:6:0:0].Congelaci¢n moderada"
"[C:6:0:0].Minor frost-bite","[C:6:0:0].Congelaci¢n menor"
"[C:6:0:0].Serious melting","[C:6:0:0].Derretimiento grave"
"[C:6:0:0].Moderate melting","[C:6:0:0].Derretimiento moderado"
"[C:6:0:0].Minor melting","[C:6:0:0].Fusi¢n menor"
"[C:6:0:0].Serious boiling","[C:6:0:0].Ebullici¢n grave"
"[C:6:0:0].Moderate boiling","[C:6:0:0].Ebullici¢n moderada"
"[C:6:0:0].Minor boiling","[C:6:0:0].Ebullici¢n menor"
"[C:6:0:0].Serious freezing","[C:6:0:0].Congelaci¢n grave"
"[C:6:0:0].Moderate freezing","[C:6:0:0].Congelaci¢n moderada"
"[C:6:0:0].Minor freezing","[C:6:0:0].Congelaci¢n menor"
"[C:6:0:0].Serious condensation","[C:6:0:0].Condensaci¢n grave"
"[C:6:0:0].Moderate condensation","[C:6:0:0].Condensaci¢n moderada"
"[C:6:0:0].Minor condensation","[C:6:0:0].Condensaci¢n menor"
"[C:5:0:1].Advanced rot","[C:5:0:1].Podredumbre avanzada"
"[C:5:0:1].Moderate rot","[C:5:0:1].Podredumbre moderada"
"[C:5:0:1].Minor rot","[C:5:0:1].Podredumbre menor"
"[C:6:0:0].Serious blistering","[C:6:0:0].Ampollas graves"
"[C:6:0:0].Moderate blistering","[C:6:0:0].Ampollas moderadas."
"[C:6:0:0].Minor blistering","[C:6:0:0].Ampollas menores."
"[C:7:0:1].Extreme pain","[C:7:0:1].Dolor extremo"
"[C:2:0:1].Nausea","[C:2:0:1].N useas"
"[C:3:0:1].Dizziness","[C:3:0:1].Mareos"
"[C:3:0:1].Paralysis","[C:3:0:1].Par lisis"
