"Throw ","caith "
"its body is bent and misshapen","t  a chorp cam agus m¡chumtha"
"it slavers uncontrollably","drannann s‚ gan smacht"
"it moves with great focus","gluaiseann s‚ le s rfh¢cas"
"it bears malodorous pustules","iompra¡onn s‚ pustail bhr‚ana"
"the details of its form are easily forgotten without deliberate concentration","d‚antar dearmad go h‚asca ar shonra¡ a fhoirme gan d¡ri£ d'aon ghn¢ air"
"it never looks toward the sun","n¡ fh‚achann s‚ i dtreo na gr‚ine riamh"
"it is utterly still when not taking deliberate action","t  s‚ go hioml n statach nuair nach bhfuil gn¡omh d'aon ghn¢   dh‚anamh aige"
"it looks very solid and stocky","t  cuma an-daingean agus stoci£il air"
"it appears to be closely related to every other of its kind","dealra¡onn s‚ go bhfuil dl£thbhaint aige le gach ceann eile d  shaghas"
"fanfare follows it wherever it goes","leanann s rcheol ‚ gach  it a dt‚ann s‚"
"it never appears to be perturbed or surprised by any happening","n¡ dhealra¡onn s‚ go gcuirtear isteach air n¢ go gcuirtear ionadh air ag teagmhas ar bith"
"it appears to be very healthy","dealra¡onn s‚ go bhfuil s‚ an-sl inti£il"
"it skips and twirls as it moves","scipeann agus guairne nann s‚ agus ‚ ag gluaiseacht"
"a sheen around it always seems to rise upward","dealra¡onn s‚ go n-‚ir¡onn loinnir thart air i gc¢na¡ an¡os"
"it only looks comfortable when it is in the water","n¡ bh¡onn s‚ compordach ach amh in nuair at  s‚ san uisce"
"it always moves carefully around water","gluaiseann s‚ go c£ramach i gc¢na¡ thart ar uisce"
"it has the delicious smell of freshly-baked goods","t  boladh blasta earra¡ b c ilte £ra air"
"freshly-baked goods","earra¡ b c ilte £ra"
"it is impossible to hold a grudge near it","t  s‚ dodh‚anta drochmheas a choinne il gar d¢"
"it is very sturdy-looking","t  cuma an-stoci£il air"
"it eagerly moves from place to place","gluaiseann s‚ go fonnmhar ¢  it go h it"
"it changes between two colors intermittently","athra¡onn s‚ idir dh  dhath go tr‚imhsi£il"
"it giggles at random","g ireann s‚ go f nach"
"it makes those around it want to give up their possessions","cuireann s‚ ar dhaoine thart air a gcuid seal£chas a thabhairt suas"
"it seems to smile constantly","dealra¡onn s‚ go bhfuil s‚ ag miongh ire i gc¢na¡"
"it is surrounded by a gentle atmosphere","t  atmaisf‚ar milis timpeall air"
"it radiates an aura of welcoming","scaoileann s‚ aura f ilteachais uaidh"
"it inspects the ground intently as it moves","scr£da¡onn s‚ an talamh go dian agus ‚ ag gluaiseacht"
"flashes of energy pulse across its surface intermittently","preabann splancacha fuinnimh ar fud a dhromchla go tr‚imhsi£il"
"it appears to be a very bitter creature","dealra¡onn s‚ gur cr‚at£r an-searbh ‚"
"its whole body appears to be faceted in a symmetric fashion","dealra¡onn s‚ go bhfuil a chorp ioml n ilghn‚itheach ar bhealach sim‚adrach"
"it seems eager to pronounce judgment on others","dealra¡onn s‚ go bhfuil fonn air breithi£nas a thabhairt ar dhaoine eile"
"it appears very deliberate in its actions","dealra¡onn s‚ go bhfuil s‚ an-dian ina chuid gn¡omhartha"
"it moves ponderously","gluaiseann s‚ go trom"
"it has a very stark look about it","t  cuma an-gharbh air"
"it seems unerringly honest if one does not concentrate","dealra¡onn s‚ go bhfuil s‚ mac nta go dosheachanta mura nd¡r¡onn t£ d'aire air"
"it returns surrounding light with a new vibrance and intensity","aisthiteann s‚ solas m guaird le br¡ agus d‚ine nua"
"it crackles with energy","t  s‚ ag scoilteadh le fuinneamh"
"it always seems to be looking far into the distance","dealra¡onn s‚ go bhfuil s‚ ag f‚achaint i bhfad i gc‚in i gc¢na¡"
"it stares longingly at those nearby","breathna¡onn s‚ go fada ar dhaoine in aice l imhe"
"it never abandons its companions","n¡ thr‚igeann s‚ a chomp naigh riamh"
"it changes direction suddenly at times","athra¡onn s‚ treo go tobann ¢ am go ham"
"it has an unnerving stare","t  amharc m¡shocair aige"
"it heckles those it meets that are not married","magann s‚ faoi gach duine nach bhfuil p¢sta a mbuaileann s‚ leo"
"it always seems like it is on the verge of crying","dealra¡onn s‚ i gc¢na¡ go bhfuil s‚ ar t¡ caoineadh"
"it appears to have sharp shimmering edges on many parts of its body","dealra¡onn s‚ go bhfuil faobhair gh‚ara ag taitneamh ar go leor codanna d  chorp"
"it has an angular appearance","t  cuma uilleach air"
"it has a distinctly depressing moan","t  osna fh¡orbhr¢nach aige"
"it is difficult to see clearly","t  s‚ deacair ‚ a fheice il go soil‚ir"
"it changes color with the phases of the moon","athra¡onn s‚ dath de r‚ir phasanna na geala¡"
"it is very solidly built","t  s‚ t¢gtha go han-daingean"
"there is a foul reek about it","t  drochbholadh br‚an uaidh"
"it cannot abide anything that lives","n¡ f‚idir leis cur suas le haon rud at  beo"
"it sounds clear tones as its body moves in time","scaoileann s‚ fuaimeanna glana de r‚ir mar a ghluaiseann a chorp in am"
"it seems most at ease when it is outdoors","dealra¡onn s‚ gurb amhlaidh is m¢ at  s‚ ar a shuaimhneas amuigh faoin aer"
"it eerily reflects the light of the stars and moon","aisthiteann s‚ solas na n-r‚alta¡ agus na geala¡ go hiontach uaf sach"
"it reminds those that look upon it of their most unpleasant memories","cuireann s‚ i gcuimhne do dhaoine a fh‚achann air na cuimhn¡ cinn is measa at  acu"
"it cannot look directly at somebody that has broken an oath","n¡ f‚idir leis breathn£ go d¡reach ar dhuine a bhris mionn"
"it always raises a part of its body toward the moon","t¢gann s‚ cuid d  chorp i dtreo na geala¡ i gc¢na¡"
"it moves very stiffly","gluaiseann s‚ go han-stioftha"
"its surface is always enlivened with a refreshing play of color","t  a dhromchla beo i gc¢na¡ le spraoi dathanna"
"it has an incredibly calm demeanor","t  iompar thar a bheith socair aige"
"it rocks back and forth whenever somebody changes their mind in its presence","luascann s‚ anonn is anall gach uair a athra¡onn duine ‚igin a intinn ina l thair"
"it always seems to point toward the sun when it is in the sky","dealra¡onn s‚ i gc¢na¡ go bpointeann s‚ i dtreo na gr‚ine nuair at  s¡ sa sp‚ir"
"it recites verses in a strange language on occasion","aithris¡onn s‚ rann i dteanga strains‚artha uaireanta"
"it appears to be expecting","dealra¡onn s‚ go bhfuil s‚ ag s£il"
"it leaves water wherever it goes","f gann s‚ uisce gach  it a dt‚ann s‚"
"it is strikingly colored","t  dath an-fheice lach air"
"it alternates from instant to instant between sluggishness and extreme vibrancy","athra¡onn s‚ ¢ n¢im‚ad go n¢im‚ad idir a bheith mall agus a bheith thar a bheith br¡omhar"
"it moves with a bouncing rhythm","gluaiseann s‚ le rithim phreabach"
"it has a fixed and unblinking gaze when interacting","t  amharc seasta gan bhuailt na s£l aige agus ‚ ag gn¡omh£"
"its outer surface seems to flow about its body","dealra¡onn s‚ go sreabhann a dhromchla seachtrach thart ar a chorp"
"it is hard to disobey","t  s‚ deacair gan g‚illeadh d¢"
"it always nods eagerly when somebody is speaking","clannann s‚ a cheann go fonnmhar i gc¢na¡ nuair a bh¡onn duine ag labhairt"
"it inspires those around it to acts of great sacrifice","spreagann s‚ daoine thart air chun gn¡omhartha s r-¡obairt¡ a dh‚anamh"
"it makes nearby water undrinkable","d‚anann s‚ uisce in aice l imhe do-¢lta"
"it always seems to be deep in thought","dealra¡onn s‚ i gc¢na¡ go bhfuil s‚ tumtha i smaointe"
"its form is ever-changing","t  a fhoirm ag athr£ de sh¡or"
"it makes absolutely no sound","n¡ dh‚anann s‚ fuaim ar bith"
"it has a slowly shifting pattern on its surface","t  patr£n ag athr£ go mall ar a dhromchla"
"it sings beautiful songs endlessly","cana¡onn s‚ amhr in  ille gan stad"
"it pays attention carefully to anybody that is speaking","tugann s‚ aird gh‚ar ar dhuine ar bith at  ag labhairt"
"it appears to sparkle after night falls","dealra¡onn s‚ go bhfuil s‚ ag taitneamh tar ‚is titim na ho¡che"
"its movement is the sound of wind and rain","is ‚ a ghluaiseacht fuaim na gaoithe agus na b ist¡"
"it looks solidly built","t  cuma dhaingean air"
"it mutters to itself about death","mutter lann s‚ leis f‚in faoin mb s"
"it is difficult to look at directly","t  s‚ deacair breathn£ go d¡reach air"
"it always seems to have its attention on the most valuable object in the area","dealra¡onn s‚ i gc¢na¡ go bhfuil a aird ar an rud is luachmhaire sa cheantar"
"its movements sound like the rattling of chains","t  fuaim a ghluaiseachta¡ cos£il le slabhra¡ ag bualadh"
"it is incredibly noisy","t  s‚ thar a bheith torannach"
"it appears to be covered with sharp hooks and barbs","dealra¡onn s‚ go bhfuil s‚ cl£daithe le cr£ca¡ agus deilgne g‚ara"
"it seems most content when a fair wind is blowing","dealra¡onn s‚ gurb amhlaidh is m¢ at  s‚ s sta nuair a bh¡onn gaoth bhre  ag s‚ideadh"
"it never stops moving completely","n¡ stopann s‚ ag gluaiseacht go hioml n riamh"
"it is unsettling to be around","t  s‚ corraitheach a bheith thart air"
"it is top-heavy","t  s‚ trom ag an mbarr"
"it has a tendency to laugh quietly to itself every so often","b¡tear ag g ire go ci£in leis f‚in ¢ am go ham"
"it tenses up throughout its entire body whenever somebody tells a falsehood in its presence","cruann s‚ a chorp ar fad gach uair a ins¡onn duine ‚igin br‚ag ina l thair"
"it chitters briefly before sunrise and just after nightfall","clice lann s‚ go gairid roimh ‚ir¡ na gr‚ine agus d¡reach tar ‚is titim na ho¡che"
"it always tries to embolden any fighting in its presence with exhortations of bravery, even its foes","d‚anann s‚ iarracht i gc¢na¡ troid ina l thair a spreagadh le mian cr¢gachta, fi£ a naimhde"
"it looks very proud of itself","t  cuma an-bhr¢d£il air as f‚in"
"Servant","seirbh¡seach"
"Servants","seirbh¡seachsigh"
"servant","seirbh¡seach"
"Minion","gille "
"Helper","C£nt¢ir "
"Helpers","C£nt¢ir¡ "
"helper","c£nt¢ir "
"Worker","Oibr¡ "
"Workers","Oibrithe "
"worker","oibr¡ "
"Hand","L mh "
"Hands","L mha "
"Being","Neach "
"Beings","Neacha "
"being","neach "
"Puppet","Puip‚ad "
"Puppets","Puip‚id "
"puppet","puip‚ad "
"Pawn","Ceithearnach "
"Pawns","Ceithearnaigh "
"pawn","ceithearnach "
"Retainer","àglach "
"Retainers","àglaigh "
"retainer","¢glach "
"divine sickness","tinneas diaga"
"it is a divine being","is neach diaga ‚"
"shining metal","miotal taitneamhach "
"flashing metal","miotal splancach "
"rusted metal","miotal meirgeach "
"twisting metal","miotal casta "
"dark metal","miotal dorcha "
"glowing metal","miotal lonrach "
"bright metal","miotal geal "
"pale metal","miotal b n "
"pock-marked metal","miotal cnap nach "
"blistered metal","miotal puscach "
"ruddy metal","miotal dearglasach "
"flickering metal","miotal preabach "
"faceted metal","miotal ilghn‚itheach "
"translucent metal","miotal tr‚dhearcach "
"frosty metal","miotal seaca "
"slick metal","miotal m¡n "
"singing metal","miotal ceolmhar "
"black metal","miotal dubh "
"multicolored metal","miotal ildaite "
"clear blue metal","miotal gormghlan "
"twinkling metal","miotal ag taitneamh "
"crashing metal","miotal bualach "
"blazing metal","miotal lasrach "
"booming metal","miotal b£ireach "
"searing metal","miotal loiscneach "
"flowing metal","miotal sreabhach "
"glowing cloth","‚adach lonrach "
"flashing sparks","splancacha tine "
"dancing wisps","sop¢ga rince "
"rotted fabric","fabraic lofa "
"never-still cloth","‚adach s¡orghluaiste "
"liquid darkness","dorchadas leachtach "
"shining cloth","‚adach taitneamhach "
"bright cloth","‚adach geal "
"pale fabric","fabraic bh n "
"twisted fabric","fabraic chasta "
"patchy cloth","‚adach paisteach "
"wispy cloth","‚adach tana¡ "
"translucent cloth","‚adach tr‚dhearcach "
"flickering cloth","‚adach preabach "
"faceted cloth","‚adach ilghn‚itheach "
"still blue fabric","fabraic ghorm statach "
"heavy cloth","‚adach trom "
"misty cloth","‚adach ceoch "
"white cloth","‚adach b n "
"dirty fabric","fabraic shalach "
"sonorous lines","l¡nte fuaimeacha "
"pitch-black fabric","fabraic dhuibhghoraim "
"screaming mouths","b‚il scr‚achacha "
"undulating cloth","‚adach luascach "
"moist fabric","fabraic thais "
"multicolored cloth","‚adach ildaite "
"flowing fabric","fabraic sreabhach "
"clear blue cloth","‚adach gormghlan "
"motes of light","m¢it¡ solais "
"flowing cloth","‚adach sreabhach "
"blazing cloth","‚adach lasrach "
"shimmering cloth","‚adach soilsitheach "
"shadow stuff"," bhar sc tha "
"molten liquid","leacht le ite "
"liquid cloth","‚adach leachtach "
"rustling fabric","fabraic ghlagarnach "
"rounded","cruinnithe "
"thin","tana¡ "
"bulging","ataithe "
"square","cearnach "
"segmented","deighilte "
"pointed","biorach "
"crescent","corr nach "
"bent","cam "
"large-headed","m¢rcheannach "
"thick","tiubh "
"rectangular","dronuilleogach "
"sword","cla¡omh"
"swords","claidhimh"
"blade","faobhar"
"blades","faobhair"
"whip","fuip"
"whips","fuipeanna"
"lash","lasc"
"lashes","lascanna"
"cursed","mallaithe "
"evil","olc "
"creeping","sn mhach "
"haunting","cr iteach "
"abominable","uaf sach "
"foul","br‚an "
"heinous","f¡orolc "
"nefarious","m¡ghnasach "
"profane","m¡-naofa "
"accursed","mallaithe "
"execrable","uaf sach "
"infernal","ifreannta "
"unholy","m¡-naofa "
"eerie","uaigneach "
"fog","ceo "
"murk","dorchadas "
"husk","cochall "
"husks","cochaill "
"zombie","zomba¡ "
"zombies","zomba¡onna "
"thrall","traill "
"thralls","traill¡ "
"pungent","g‚arbholadh "
"acrid","g‚ar "
"bitter","searbh "
"stinking","br‚an "
"abhorrent","gr ini£il "
"fetid","br‚anbholadh "
"filthy","br‚an "
"horrid","uaf sach "
"loathsome","gr ini£il "
"malodorous","br‚anbholadh "
"nauseating","m£isiamach "
"putrid","lofa "
"repellent","m¡thaitneamhach "
"repulsive","d‚istineach "
"revolting","d‚istineach "
"rotten","lofa "
"slime","smuga "
"goo","gl¢thach "
"mucus","smuga "
"ooze","l ib "
"weapon","arm"
"shield","sciath"
"bodywear","‚ada¡ coirp"
"legwear","‚ada¡ cos"
"headwear","ceannbheart"
"handwear","‚ada¡ l mh"
"footwear","coisbheart"
" a "," "
"holy","naofa"
"crypt","cr¡opa "
"tomb","tuama "
"entombed","adhlactha "
"buried","curtha "
"once-resting","a bh¡ ina lu¡ "
"sanctified","naofaithe "
"sacred","beannaithe "
"mausoleum","m saileam "
"coffin","c¢nra "
"grave","uaigh "
"sepulcher","reilig "
"interred","adhlactha "
"one","aon "
"ones","cinn "
"corpse","corp "
"corpses","coirp "
"ghoul","g£l "
"ghouls","g£la¡ "
"of shadow","den sc th "
"of darkness","an dorchadais "
"of death","an bh is "
"bone","cn mh "
"of bones","na gcn mh "
"of the grave","na huaighe "
"dream","briongl¢id "
"of dreams","na mbriongl¢id¡ "
"sleeping","ag codladh "
"of sleep","an chodlata "
"of earth","na tal£n "
"stone","cloch "
"of stone","na cloiche "
"of fire","na tine "
"of flames","na lasracha "
"gem","seoid "
"of gems","na seod "
"jewel","seoid "
"of jewels","na seod "
"of crystals","na gcriostal "
"of light","an tsolais "
"bright","geal "
"storm","stoirm "
"of storms","na bstoirmeacha "
"of lightning","na tintr¡ "
"of metal","an mhiotail "
"steel","cruach "
"of steel","na cruaiche "
"iron","iarann "
"of iron","an iarainn "
"bronze","cr‚-umha "
"of bronze","an chr‚-umha "
"golden","¢rga "
"of gold","an ¢ir "
"silver","airgead "
"of silver","an airgid "
"of crystal","an chriostail "
"shrouded","folaithe "
"of mist","an cheo "
"of fog","an cheo "
"hidden","folaithe "
"of the moon","na geala¡ "
"lunar","geala¡ "
"of the eclipse","an urdorchaithe "
"of the mountain","an tsl‚ibhe "
"peak","binn "
"of the peak","na binne "
"summit","mullach "
"of the heights","na n-airde "
"ridge","droim "
"of the mud","na l ibe "
"of the swamp","na corca¡ "
"of the marsh","an bhoglaigh "
"dread","uamhan "
"of dread","an uamhain "
"of nightmares","na dtromlu¡onna "
"fear","eagla "
"of fear","na heagla "
"terror","sceon "
"of terror","an sceoin "
"of the ocean","an aig‚in "
"of oceans","na n-aig‚an "
"sea","farraige "
"of the sea","na farraige "
"of seas","na bhfarraig¡ "
"tidal","taideach "
"of the tide","na taoide "
"of tides","na dtaoid¡ "
"of brine","na s ile "
"foam","briot n "
"of foam","an bhriot in "
"leaf","duilleog "
"of leaves","na nduilleog "
"verdant","glaiseach "
"grass","f‚ar "
"of grasses","na bhf‚ar "
"of salt","an tsalainn "
"of the sky","na sp‚ire "
"blue","gorm "
"cloud","n‚al "
"of the clouds","na n‚alta "
"of clouds","na n‚al "
"star","r‚alta "
"of the stars","na n-r‚alta¡ "
"of stars","na r‚alt "
"of the storm","na stoirme "
"tornado","b£baill¡n "
"hurricane","gof n "
"gale","gaoth mh¢r "
"of the gale","na gaoithe m¢ire "
"of gales","na ngaoth m¢r "
"of the rain","na b ist¡ "
"of rains","na mb isteach "
"of the sun","na gr‚ine "
"of the dawn","f inne an lae "
"of dawn","an mhoch¢ir¡ "
"noon","me n lae "
"of the noon","an mhe in lae "
"of noon","an mhe n lae "
"morning","maidin "
"tree","crann "
"of the trees","na gcrann "
"of trees","na gcrann "
"of the forest","na foraoise "
"of forests","na bhforaois¡ "
"bark","coirt "
"of bark","na coirte "
"of branches","na ng‚ag "
"root","fr‚amh "
"of root","na fr‚imhe "
"volcano","bholc n "
"of volcanoes","na mbolc n "
"magma","magma "
"of magma","an mhagma "
"lava","l bha "
"of lava","an l bha "
"of eruptions","na mbr£chtuithe "
"of the waters","na n-uisc¡ "
"of water","an uisce "
"of ice","an oighir"
"of the wind","na gaoithe "
"of wind","na gaoithe "
"follower","leant¢ir"
