"Archery","Öj szat"
"Hamlet","Falucska"
"Record Keeper","Nyilv ntart¢"
"I ate rotten food.","Romlott ‚telt ettem."
"Herbalist","Gy¢gyn”v‚nyszak‚rt‹"
" rejected)"," visszautas¡tva)"
"Early ","Kora "
"loris","l¢ri"
"filthy","mocskos"
"/Resting","/Pihen‚s"
"chasm","kazamata"
"Summer","Ny r"
"Healthcare","Eg‚szs‚ggy"
"You have selected a very large area.","Nagyon agy terletet v lasztott l ki."
"sloth","lajh r"
"Temperate Brackish River","M‚rs‚kelt enyh‚n s¢s vizû foly¢"
" has shared many tales from beyond "," sok t”rt‚netet osztott meg a t£lvil gr¢l "
"This may take several minutes!","Ez t”bb percet is ig‚nybe vehet!"
"lizard","gy¡k"
"Masonry","K‹mûvesmunka"
"siege ammo","ostrom l‹szer"
"Conquest","H¢d¡t s"
"Very low","Nagyon alacsony"
"Sewers","Csatorn k"
" concludes a performance."," befejezte az el‹ad s t."
"Unknown Age","Ismeretlen kor"
" catch"," elkap"
"Disdains martial prowess","Megveti a harciass got"
"Don't show again","Ne mutasd £jra"
"Selected tiles are high-medium priority.","A kiv lasztott mez‹k magas-k”zepes priorit s£ak."
"Tropical Freshwater Swamp","Tr¢pusi ‚desvizû mocs r"
"Rider","Lovas"
"Stone Blocks","K‹t”mb”k"
"Start new game in existing world","éj j t‚k ind¡t sa egy megl‚v‹ vil gban"
"forest","erd‹"
"Military Tactics","Katonai taktik k"
"a shop","egy zlet"
"Modest Dining Room","Szer‚ny ‚tkez‹"
" of the two themes"," a k‚t t‚ma k”zl"
"Allow Necromancer Summons","Nekromanta id‚z‚sek enged‚lyez‚se"
"Persuasion","Meggy‹z‚s"
"I talked to my mother.","Besz‚ltem az any mmal."
"taiga","tajga"
"Surrender","Megad s"
"] and ","] ‚s "
"I'd rather not say.","Ink bb nem mondan m."
"Basic options","Alapvet‹ lehet‹s‚gek"
"Temperate Freshwater Marsh","M‚rs‚kelt ‚desvizû l p"
" pick up "," felvenni "
"stone... rock","k‹... szikla"
"coin","‚rme"
"Can volcanism be placed at the value 100 enough times to provide space for each of your volcanos?  ","A vulkanizmus a 100-as ‚rt‚kre el‚gszer elhelyezhet‹ ahhoz, hogy minden egyes vulk nodnak helyet biztos¡tson? "
"slush","latyak"
"The highest mountain elevations do not have soil. ","A fels‹bb hegyvid‚ki magass gokban nincs talaj. "
"First, ","Els‹, "
"bedroom","h l¢szoba"
"has an incredibly broad body but is very frail","hihetetlenl sz‚les testalkat£, de nagyon s‚rl‚keny"
"attack","t mad s"
"the musical composition ","a zenei ”ssze ll¡t s "
"You cannot perform here.","Nem adhatsz el‹ itt."
"Next","K”vetkez‹"
"Metal Crafting","F‚mmûvess‚g"
"child","gyerek"
"lord","£r"
"infection","fert‹z‚s"
"fortress entrance","er‹dbej rat"
"artwork","mûalkot s"
"Select a game type to begin!","V laszd ki a j t‚k t¡pus t a kezd‚shez!"
"250 years","250 ‚v"
" children"," gyerek"
"I hate ","n ut lom "
"torn","t‚pve"
"Butchery","M‚sz rsz‚k"
"pressed crystal glass","t”m”r¡tett krist lyveg"
"an unknown site","egy ismeretlen hely"
"Friendship","Bar ts g"
" become enraged!"," feldh”d”tt!"
"pressed vomit","nyomott h ny s"
"Teaching","Tan¡t s"
" latches on firmly"," szorosan r fogott"
"Woodcutter","Fav g¢"
" proud"," bszke"
"calcite/limestone/chalk/marble ","kalcit/m‚szk‹/kr‚ta/m rv ny "
" beautifully."," gy”ny”rûen."
"After a scale is constructed, the root note of chords are named.  ","A sk la fel‚p¡t‚se ut n az akkordok alaphangj t nevezzk meg. "
"Disdains nature","Megveti a term‚szetet"
"Mountain","Hegys‚g"
"Planter","šltet‹"
"moose","j vorszarvas"
"Prose","Pr¢za"
"Teach ","Tan¡t "
"Pocket","Apr¢"
" through the "," keresztl "
"Persuader","Meggy‹z‹"
"stoicism","higgadts g"
"fairness","m‚lt nyoss g"
" has shared a rumor from abroad."," megosztott egy klf”ldi pletyk t."
"Metalsmithing","F‚mfeldolgoz s"
"City","V ros"
"Values stoicism","rt‚keli a higgadts got"
"Meditate on ","Medit l "
"Important and sometimes urgent information is given as alerts on the left side of the screen. ","A fontos ‚s n‚ha srg‹sen figyelmet ig‚nyl‹ inform ci¢k figyelmeztet‚sek form j ban jelennek meg a k‚perny‹ bal oldal n.  "
"Disdains loyalty","Megveti a hûs‚get"
"Metalcrafting","F‚mmûvess‚g"
"gopher","tasakospatk ny"
"Animal Dissection","µllatbont s"
"bruised","z£zva"
"Fairness","M‚lt nyoss g"
"Channel mining","Csatorna s s"
"Oh, no,","Oh, nem,"
"Dwarves, for example, require non-evil, non-good, unsavage mountain squares that aren't surrounded by the ocean.  ","A t”rp‚knek p‚ld ul nem gonosz, nem j¢, nem vad hegyvid‚ki terekre van szks‚gk, amelyeket nem vesz k”rl az ¢ce n. "
"monkey","majom"
"Intimidator","Megf‚leml¡t‹"
"Blocks: stone/clay","T”mb”k: k‹/agyag"
" leg lift"," l b emel‚s"
"Unbelievable.","Hihetetlen."
"You might want to check your maximum elevation value and other elevation parameters.  ","rdemes lenne ellen‹rizned a maxim lis magass gi ‚rt‚ket ‚s m s magass gi param‚tereket. "
"hunting.","vad szat."
"Talented","Tehets‚ges"
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  Magma below the forge will power tasks.  You are responsible for placing the forge above the magma, but no other fuel is required.","Fegyvereket, p nc‚lokat, valamint a rengeteg m s f‚mt rgyat is kov csolhatsz itt, a b£torokt¢l a csapdaelemekig. A kov csmûhely alatti magma biztos¡tja az energi t a mûk”d‚shez. A kov csmûhelyt magma f”l‚ kell helyezni, de nincs szks‚g egy‚b tzel‹anyagra."
"Some performers finish their act.","N‚h ny el‹ad¢ v‚gzett."
"You have selected a large area.","Nagy terletet v lasztott l ki."
"You might want to adjust the parameters governing volcanism.  ","Tal n m¢dos¡tanod kellene a vulkanizmust szab lyoz¢ param‚tereket. "
"Autosave frequency","Automatikus ment‚s gyakoris ga"
"item","t rgy"
"Siege Engineering","Ostromm‚rn”ks‚g"
"If you have found magma you can build a [C:6:0:0]Magma Smelter[C:7:0:0] directly over it, otherwise you need [C:6:0:1]Fuel[C:7:0:0]. ","Ha magm t tal lt l, akkor k”zvetlenl f”l‚ ‚p¡thetsz egy [C:6:0:0]Magmaolvaszt¢t[C:7:0:0] , kl”nben [C:6:0:1]Fût‹anyagra[C:7:0:0]lesz szks‚g. "
" Barrel"," Hord¢"
"Farming (Fields)","F”ldmûvel‚s (mez‹k)"
"You might want to adjust the parameters governing elevation.  ","Lehet, hogy m¢dos¡tanod kell a magass got szab lyoz¢ param‚tereket. "
"Loading schedules...","štemtervek bet”lt‚se..."
"a large deficit of willpower","nagyfok£ akarater‹hi ny"
"Grand Master","Nagymester"
" is visiting."," l togat."
"elk","j vorszarvas"
"Removing stairs/ramp/constructions","L‚pcs‹k/r mp k/‚p¡tm‚nyek elt vol¡t sa"
"History length","T”rt‚nelem hossza"
" half"," f‚l"
"High Master","F‹mester"
"You could not find a partner.","Nem tal lt l partnert."
"Needs: ","Szks‚gletek: "
"Bridge","H¡d"
"Late ","K‚s‹ "
"stone ","k‹ "
"not a half hour ago","egy f‚l ¢r ja se"
"Autosave the game after embark","Automatikus ment‚s a j t‚kba l‚p‚s ut n"
"Wall","Fal"
"Cunning","Ravaszs g"
"Farming/Related","F”ldmûvel‚s/Kapcsol¢d¢"
"Left click on an alert for recentering options, and right click to dismiss an alert.","Kattints bal eg‚rgombbal egy riaszt sra az £jrarendez‚si lehet‹s‚gekhez, kattints jobb eg‚r gombbal a riaszt s elutas¡t s hoz."
"southeast","d‚lkelet"
"boiling green glass","forr sban l‚v‹ z”ld veg"
"The world generator is having trouble placing forests.  ","A vil ggener tornak gondjai vannak az erd‹k elhelyez‚s‚vel. "
" empty "," res "
"dining halls.","‚tkez‹k."
"are","vagy"
"Underworld spire","F”ldalatti torony"
"Tired","F radt"
"Legendary","Legend s"
" ranged weapons"," t vols gi fegyverek"
"Organize Combat Training","Harci edz‚st szervez"
"Make sure your parameters and raw objects have adequate vegetation.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s a nyers objektumok megfelel‹ veget ci¢val rendelkeznek. "
"Polish stones","K‹csiszol s"
"Grand Mausoleum","Grandi¢zus mauz¢leum"
"High stamina","Magas  ll¢k‚pess‚g"
"Maximum Natural Cave Size","Maxim lis term‚szetes barlangm‚ret"
"This is ","Ez itt "
"What?","Micsoda?"
"Werebeast Attack Population Rating","V‚rbestia t mad¢n‚pess‚g ‚rt‚ke vagy V‚rbestia-t mad s n‚pess‚g‚rt‚ke"
" Demonstration"," Demonstr l"
"Glassmaking","šveggy rt s"
"There is writing in the book, but you cannot read.","A k”nyvben van ¡r s, de nem tudod elolvasni."
"Nature","Term‚szet"
"Consoler","Vigasztal¢"
"Decent Quarters","Tisztess‚ges sz ll shely"
"Eloquence","kessz¢l s"
"Granite","Gr nit"
" my traveling companion."," az ‚n utaz¢ t rsam."
"CREATE WORLD NOW = ","VILµG LTREHOZµSA AZONNAL = "
"a tunnel","egy alag£t"
"cooperation","kooper ci¢"
"  Beware!  It it said that only ","  Vigy zz!  Ez azt mondta, hogy csak "
"a member","egy tag"
"Observation","Megfigyel‚s"
" looks"," n‚z"
"slept on smooth floor","sima padl¢n aludt"
"This object is heavily worn.  ","Ez a t rgy er‹sen kopott. "
"Forgive me, but","Eln‚z‚st, de"
"Disdains law","Megveti a t”rv‚nyeket"
" high"," magas"
"pipe section","cs‹ r‚sz"
"You might want to adjust the parameters governing drainage.  ","Lehet, hogy m¢dos¡tanod kell a v¡zelvezet‚st szab lyoz¢ param‚tereket. "
"is incredibly tall and skinny","hihetetlenl magas ‚s sov ny"
"Meager Dining Room","Szeg‚nyes ‚tkez‹"
"Adventurer","Kalandor"
"the stanza","a str¢fa"
"Loading crimes...","Bûncselekm‚nyek bet”lt‚se..."
"The world generator couldn't find any civilization definitions.  ","A vil ggener tor nem tal lt civiliz ci¢s defin¡ci¢kat. "
"slimy ","ny lk s "
"Conversation","Besz‚lget‚s"
" and really wants a drink"," ‚s nyagyon szeretne egy italt"
"Dig only gems selected.","Csak a kiv lasztott dr gak”vek kitermel‚se."
"Pottery","Fazekass g"
"Intimidation","Megf‚leml¡t‚s"
"Make sure your parameters and presets can support mid-elevation, high rainfall, high drainage, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, nagy csapad‚kmennyis‚gû, nagy v¡zelvezet‚sû, nem fagyos terleteket. "
"Loading activities...","Tev‚kenys‚gek bet”lt‚se..."
"I don't feel guilty about it.","Nem ‚rzem magam bûn”snek emiatt."
"coyote","pr‚rifarkas"
"Opulent Throne Room","Pazar tr¢nterem"
" right leg lift"," jobb l b emel‚s"
"Can your parameters achieve elevations between 300 and 400?  ","A param‚tereid k‚pesek el‚rni a 300 ‚s 400 k”z”tti magass got? "
"antelope","antilop"
" footwork"," l bmunka"
"Stone shape not found: ","K‹forma nem tal lhat¢: "
"LACK OF VOLCANOS","VULKµNOK HIµNYA"
"Placing civilizations... (","Civiliz ci¢k elhelyez‚se... ("
"Discipline","Fegyelmez‚s"
"southwest","d‚lnyugat"
"Plant","šltet"
"being tortured","k¡nozz k"
"We must go back.","Vissza kell mennnk."
"philosophy","filoz¢fia"
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","V‚ss egy nyomvonalat a k‹padl¢ba. A nyomvonalakat a b nyakocsik haszn lj k, amelyek £tvonal t a vontat si menben lehet be ll¡tani."
"Disdains fairness","Megveti a m‚lt nyoss got"
"The music is broadly layered with chords spanning the range.  ","A zene sz‚lesk”rûen r‚tegzett, akkordokkal  tsz‹tt. "
"Creatures","L‚nyek"
"Stair mining","L‚pcs‹sor ki s sa"
"coal","sz‚n"
"the finale","a fin l‚"
"Building","plet"
"Making cave civilizations...","Barlangi civiliz ci¢k l‚trehoz sa..."
"Loyalty","Hûs‚g"
"Great Dining Room","Nagyszerû ‚tkez‹"
"drum","dob"
" low"," alacsony"
"is incredibly skinny yet gigantic overall","hihetetlenl sov ny, de eg‚sz‚ben n‚zve m‚gis gigantikus"
"northeast","‚szakkelet"
"Meeting Area","Tal lkoz¢hely"
"armadillo","armadill¢"
"Initialization complete...","Inicializ l s befejezve..."
"It is hot.","Forr¢s g van."
"murdered","meggyilkolt"
"Copy","M sol"
"many years ago","sok ‚vvel ezel‹tt"
"Listen to Sermon","Szentbesz‚d meghallgat sa"
" of the previous passage"," az el‹z‹ passzusnak"
"Coordination","Koordin ci¢"
"The regular mining command digs a tunnel into the side of a mountain or deep underground. ","A k”z”ns‚ges b ny szat parancs egy j rat ki s s t rendeli el egy hegy oldal ba vagy m‚lyen a f”ld al . "
"Storytelling","T”rt‚netmond s"
"Lead ","Vezet "
"Balance","Egyens£ly"
" having more trouble breathing!"," probl‚m sabb sz m ra a l‚gz‚s!"
"The world generator is having trouble placing rainfall in the manner specified by the parameters.  ","A vil ggener tornak gondjai vannak az es‹z‚sek elhelyez‚s‚vel a param‚terek  ltal meghat rozott m¢don. "
"Write about ","Ör r¢la "
"Number of Werebeast Curse Types","V‚rbestia- tokt¡pusok sz ma"
"The world generator is having trouble placing enough low elevations.  ","A vil ggener tornak gondjai vannak az alacsony magass gok elhelyez‚s‚vel. "
"These effects are more pronounced deep underground where you can locate the cavern biome and its rich soil.","Ezek a hat sok m‚g er‹teljesebbek a f”ld m‚ly‚n, ahol a barlangi bioszf‚ra ‚s annak term‚keny talaja tal lhat¢."
"You feel like you know the basic rules of ","égy ‚rzed, hogy megtanultad az alapjait a "
"a stone furniture shop","egy k‹b£tor-zlet"
"Consider that most [C:6:0:0]Workshops[C:7:0:0] are 3x3 squares.  Mining through the stone layers further down may take longer, ","Vedd figyelembe, hogy a legt”bb [C:6:0:0]Mûhely[C:7:0:0] 3x3 n‚gyzetnyi . A m‚lyebben fekv‹ k‹r‚tegeken val¢ b ny szat hosszabb id‹t vehet ig‚nybe, "
"trenches"," rkok"
"armor","p nc‚l"
"night","este"
"Sword","Kard"
"a bridge","egy h¡d"
"Fish Dissection","Halbont s"
"The world generator is having trouble placing enough mountain peaks.  ","A vil ggener tor nehezen tud elegend‹ hegycs£csot elhelyezni. "
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.  The miner requires a pick.","µss egy k”z”ns‚ges folyos¢t vagy szob t. Ha szks‚ges, rendelj ki egy b ny szt a munk hoz. A b ny sznak cs k nyra van szks‚ge."
"I've heard it all now!","Most hallotam az eg‚szet!"
"Place the water wheel above flowing water to generate power for machines, such as the millstone or screw pump.","Helyezd a v¡zkereket az  raml¢ v¡z f”l‚, hogy energi t termeljen a g‚pek, p‚ld ul a malomk‹ vagy a csigaszivatty£ sz m ra."
"Importing wildlife...","Vad llatok behozatala..."
"song","dal"
"marmot","mormota"
"earring","flbeval¢"
"It is a starless night.","Az csillagok alig l tszanak ma ‚jjel."
"Stoneworker","K‹mûves"
"The dance continues.","A t nc folytat¢dik."
"mother","anya"
"long ago","r‚gen"
"Loading object files...  ","Objektumf jlok bet”lt‚se... "
"Forming lakes","Tavak kialak¡t sa"
"is very large yet also very weak and incredibly skinny","nagyon nagy, ugyanakkor nagyon gyenge ‚s hihetetlenl sov ny."
"Village","Falu"
"Running rivers...","Foly¢k folyat sa..."
"has a very large frame but is incredibly skinny","nagyon nagy testalkat£, de hihetetlenl sov ny"
"The performers","Az el‹ad¢k"
"mongoose","mong£z"
"murderer","gyilkos"
"Grand Dining Room","Grandi¢zus ‚tkez‹"
"Soap Making","Szappank‚sz¡t‚s"
"Skilled","K‚pzett"
"attacks","meg tmad"
"is"," az"
"dining hall (75,50,75)","‚tkez‹ (75,50,75)"
"Dodging","Kit‚r‚s"
" needs"," szks‚gletek"
"Civilization","Civiliz ci¢"
"I hope this fog lifts soon.","Rem‚lem ez a k”d hamarosan elm£lik."
"This isn't rich soil, but will suffice for now.  Dig deeper to find better soil. ","Ez nem ‚ppen term‚keny talaj, de egyel‹re megteszi. µss m‚lyebbre, hogy jobb talajt tal lj. "
"rotting ","rohad¢ "
"Lava [","L va ["
"teeth","fogak"
"Quit","Kil‚p‚s"
"somebody","valaki"
"North or South","szak vagy D‚l"
"Needs ","Szks‚gletek "
"boiling crystal glass","forr sban l‚v‹ krist lyveg"
"harmony","harm¢nia"
"Galena","Gal‚na"
"LOW ELEVATION REJECTION","ALACSONY MAGASSµG VISSZAUTASÖTµSA"
"killer","gyilkos"
"Channel mining blueprint","Csatorna s s alaprajza"
"Meager Study","Szeg‚nyes dolgoz¢szoba"
" half of"," fele"
"Elevation Mesh Size","Emelked‚s h l¢m‚rete"
"a few months ago","n‚h ny h¢napja"
"Lover: ","Szeret‹: "
"a recapitulation","egy ”sszegz‚s"
"drums","dobok"
" head is"," fej van"
" item."," t rgy."
"This passage typically has some sparse chords.  ","Ez a szakasz jellemz‹en n‚h ny ritka akkordot tartalmaz. "
"an unknown artifact","egy ismeretlen ereklye"
"bone","csont"
"grandmother","nagymama"
" leap"," ugr s"
"Rude","Goromba"
"coal slush","sz‚npermet"
"was scuttled","elsllyedt"
"Right click to dismiss the information sheet.","Kattints a jobb eg‚rgombbal az inform ci¢s fl elutas¡t s hoz "
"grabs","megfog"
"  It is said that ","  Azt mondj k, hogy "
"Flattery","H¡zelg‚s"
"Fishing/Related","Hal szat/Kapcsol¢d¢"
"a series of variations","vari ci¢k sorozata"
"Alternatively, you can reduce the number of glacial squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt gleccsern‚gyzetek ‚s r‚gi¢k sz m t."
" (1 of 8)"," (1 a 8-b¢l)"
"boiling lye","forr sban l‚v‹ l£g"
"chameleon","kam‚leon"
" the story in vivid detail."," a t”rt‚netet sz¡nes r‚szletekkel."
"it","‹"
"Poetry Recital","K”lt‚szeti el‹ad s"
"Disdains romance","Megveti a romantik t"
" does not mind being outdoors, at least for a time.  "," nem b nja ha kint kell lennie, legal bbis egy ideig. "
"is gigantic yet incredibly weak","gigantikus, m‚gis hihetetlenl gyenge"
"Temperature","H‹m‚rs‚klet"
"This passage features only melodic tones and intervals.  ","Ez a szakasz csak dallamhangokat ‚s intervallumokat tartalmaz. "
"I talked to somebody.","Besz‚ltem valakivel."
"DRAINAGE REJECTION","VÖZELVEZETS VISSZAUTASÖTµSA"
"stoneworker","k‹mûves"
" even more sick!"," m‚g betegebb!"
"This object is in tatters.  ","Ez a t rgy foszladozik. "
"Savagery","Barb rs g"
"Striking","Csap s"
"coati","ny‚rc"
"a road","egy £t"
"ALLOW ALL REJECTS, even if I end up with a legends-only world!","MINDEN VISSZAUTASÖTµS ENGEDLYEZSE, m‚g akkor is, ha a v‚g‚n egy csak legend kb¢l  ll¢ vil g j”n l‚tre!"
"Alternatively, you can reduce the number of high, medium or low volcanism squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges magas, k”zepes vagy alacsony vulkanizmus£ n‚gyzetek sz m t."
"Tropical Freshwater Pool","Tr¢pusi ‚desvizû t¢"
"hare","mezei ny£l"
"Finalizing uniforms... (","Egyenruh k v‚gleges¡t‚se... ("
"Citizens that cannot be buried properly can still be memorialized on slabs.  Slabs are created and engraved at the stoneworker's shop.","Azoknak a polg roknak, akiket nem lehet megfelel‹en eltemetni, tov bbra is s¡reml‚ket lehet  ll¡tani. Ezeket a t bl kat a k‹mûves mûhelyben k‚sz¡tik el ‚s v‚sik ki."
"a castle tower","egy v r tornya"
"Wind Instrument","F£v¢s hangszer"
"The stars are bold tonight.","A csillagok f‚nyesek ma ‚jjel."
"Forest","Erd‹"
"About DF","A DF-r‹l"
"hanging from ","l¢g a "
"bell","cseng‹"
"Animal Caretaking","µllatgondoz s"
" latch on firmly!"," szorosan r fog!"
"Temperate Freshwater River","M‚rs‚kelt ‚desvizû foly¢"
"Stoneworking Workshop","K‹mûves mûhely"
"Hide advanced options.","B‹v¡tett be ll¡t sok elrejt‚se."
" latch on firmly"," szorosan r fog"
"Show up and down arrows over ramps at the current elevation.","Felfel‚ ‚s lefel‚ mutat¢ nyilak megjelen¡t‚se a r mp k felett az aktu lis magass gban."
" roll"," gurul"
" terrarium"," terr rium"
"sunset","napkelte"
"my father","ap m"
"Disdains cooperation","Megveti az egyttmûk”d‚st"
"Organize ","Szervez "
"The work has no particular subject.  ","A mûnek nincs konkr‚t t‚m ja. "
"brave","b tor"
"flood"," rv¡z"
" facial expression"," arc kifejez‚s"
"Sand Desert","Homoksivatag"
"more temperate","m‚rs‚keltebb"
"The story continues.","A t”rt‚net folytat¢dik."
"Click an icon to add a new zone.","éj z¢na hozz ad s hoz kattints egy ikonra."
"vomitous ","h nyingerkelt‹ "
"donkey","szam r"
"Disdains sacrifice","Megveti az  ldozatv llal st"
"boil","forr"
"Dance Competition","T ncverseny"
"Loading formations...","Form ci¢k bet”lt‚se..."
" Rain Weighted Range ("," Es‹ s£lyozott tartom nya ("
"The music repeats for as long as necessary.  ","A zene addig ism‚tl‹dik, ameddig szks‚ges. "
"I was beaten as a punishment.","Bntet‚sb”l voltam megverve."
"Professional","Hivat sos"
"Stone Furniture","K‹b£torok"
"Seed","Mag"
" has finished performing."," v‚gzett az el‹ad s val."
"There","Ott"
" a light"," egy f‚ny"
" most of"," legt”bb"
" out there."," odakint."
"The enemy!","Az ellens‚g!"
" speak"," besz‚l"
" an enemy."," egy ellens‚g."
"has a low sense of self-esteem","alacsony ”nbecsl‚ssel rendelkezik"
"Bridges can be used to span open spaces or placed above water or magma.  Bridges can be connected to levers and raised to block access.","A hidak haszn lhat¢k ny¡lt terek  thidal s ra, vagy v¡z vagy magma f”l‚ helyezhet‹k. A hidakat emelkarokhoz lehet csatlakoztatni ‚s fel lehet emelni, hogy megakad lyozz k az  thalad st."
"A few separate groups were organized.  ","N‚h ny kl”n ll¢ csoport szervez‹d”tt. "
"How incredibly interesting!","Hihetetlenl ‚rdekes!"
"thirst","szomj£s g"
"Loading squads...","Csapatok bet”lt‚se..."
"Exhausted","Kimerlt"
"I talked to my spouse.","Besz‚ltem a h zast rsammal."
"Low stamina","Alacsony  ll¢k‚pess‚g"
"clear glass ","tiszta veg "
"Romance","Romantika"
"Floor","Padl¢"
"Watch Dance","N‚zd a t ncot"
" on the second theme"," a m sodik t‚m r¢l"
"cooking ","f‹z "
"Alternatively, you can reduce the number of high, medium or low savagery squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges magas, k”zepes vagy alacsony vads g£ n‚gyzetek sz m t."
"a vague agreement","egy k”d”s meg llapod s"
" have married.  Congratulations!"," megh zasodott. Gratul lunk!"
"Disdains leisure time","Megveti a szabadid‹s tev‚kenys‚get"
"to unpause or use the highlighted controls at the top of the screen.  You should pause regularly starting out.","a sznet felold s hoz, vagy haszn ld a k‚perny‹ tetej‚n tal lhat¢ kiemelt vez‚rl‹elemeket. Kezdetben ‚rdemes rendszeresen sznetet tartanod."
"The ","A "
"Failed to find vanilla environment header.","Nem sikerlt megtal lni a vanilla k”rnyezeti fejl‚cet."
"companion","t rs"
"a week ago","egy hete"
"Royal Throne Room","Kir lyi tr¢nterem"
"The world generator is having trouble placing enough volcanos.  ","A vil ggener tornak gondjai vannak a vulk nok elhelyez‚s‚vel. "
"ground amber","f”ldi borosty n"
" heads are"," fejek vannak"
"Play Make Believe","Sz¡nlel‚st j tszik"
"5 years","5 ‚v"
"marsh","l p"
" a murderer."," egy gyilkoss g."
"Civilization: ","Civiliz ci¢: "
"Hatches can be placed at the tops of stairwells or above ramps to control movement in the fort when they are forbidden or attached to levers.","A l‚pcs‹sorok tetej‚n vagy a r mp k f”l”tt elhelyezett zsilipek az er‹dben val¢ mozg s szab lyoz sa ‚rdek‚ben megtilthat¢k vagy emel‹karokhoz csatlakoztathat¢k."
"Spear","L ndzsa"
"jackal","sak l"
"I'm not feeling very grateful.","Nem ‚rzem magam t£l h l snak."
" window"," ablak"
"Preferences","Kedvencek"
"the verse paragraph","a vers bekezd‚se"
"Needs","Szks‚gletek"
"Make sugar, flour, and various useful slurries here.  Tasks are completed very slowly compared to the powered millstone.","Itt k‚sz¡thetsz cukrot, lisztet ‚s m s hasznos z£zal‚kokat. A feladatokat a meghajt ssal rendelkez‹ malomk‹h”z k‚pest nagyon lassan v‚gzi el."
" body level"," test szint"
"Stone","K‹"
"mechanisms","mehanizmus"
"Stoneworking Pit","K‹mûves g”d”r"
"gila monster","viperagy¡k"
"Religion","Vall s"
"This isn't the time for jubilation.","Ez nem az nnepl‚s ideje."
"rotten","rohadt"
"Disdains independence","Megveti a fggetlens‚get"
"Relations","Kapcsolatok"
"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.","Amikor a n‚z‹pontod a leveg‹ben van m s mez‹k felett, l thatod ‹ket odalent, de csak az aktu lis magass godban l‚v‹ objektumokkal tudsz interakci¢ba l‚pni."
"Market","Piac"
" throne"," tr¢n"
"a castle courtyard","egy kast‚ly udvara"
"warthog","varacskosdiszn¢"
"You need to select the crops to be grown each season. ","Minden ‚vszakra ki kell v lasztaniod a termesztend‹ n”v‚nyeket. "
"Fine Dining Room","Remek ‚tkez‹"
"a few days ago","n‚h ny napja"
"This crucial building is where all trading will be done.  Pack animals from distant civilizations will need to access this building from the edge of the map.  Later, wagons will need a clear 3-wide path to the depot.","Ez a kulcsfontoss g£ ‚plet az a hely, ahol minden keresked‚s zajlik. A t voli civiliz ci¢kb¢l ‚rkez‹ teherhord¢  llatoknak a t‚rk‚p sz‚l‚r‹l kell megk”zel¡tenik ezt az ‚pletet. K‚s‹bb a szekereknek egy 3 mez‹ sz‚less‚gû, akad lymentes £tra lesz szks‚gk."
"chain ","l nc "
"Change","M¢dos¡t s"
"Comedy","Kom‚dia"
"Drainage","Lefoly s"
"Ramps and channels","R mp k ‚s csatorn k"
"active","akt¡v"
"Grave","S¡rhely"
"squirrel","m¢kus"
"my lover","szeret‹m"
"Listen to Story","T”rt‚net meghallgat sa"
" chain"," l nc"
"The world generator is having trouble placing a controllable civilization.  ","A vil ggener tornak gondot okoz egy ir ny¡that¢ civiliz ci¢ elhelyez‚se. "
"Cold","Hideg"
"being shot","megl”vik"
"to express grief over","gy sz t fejezze ki"
"the Underworld","az Alvil g"
"VOLCANISM REJECTION","VULKANIZMUS VISSZAUTASÖTµSA"
"Bowmaking","Öjk‚sz¡t‚s"
"llama","l ma"
"Comedian","Kom‚di s"
" aggressive"," agressz¡v"
" my enemy."," az ‚n ellens‚gem."
"The sermon continues.","A pr‚dik ci¢ folytat¢dik."
"dancing","t ncol s"
"The world generator is having trouble placing enough civilizations.  ","A vil ggener tor nehezen tud elegend‹ civiliz ci¢t elhelyezni. "
"my sibling","testv‚rem"
"The world generator is having trouble placing mountains.  ","A vil ggener tornak gondjai vannak a hegyek elhelyez‚s‚vel. "
"cold","hideg"
"Elevation","Emelked‚s"
"Study","Dolgoz¢szoba"
"Get away from me!","Menj t vol t‹lem!"
"Loading map data...","T‚rk‚padatok bet”lt‚se..."
"Fisherdwarf","Hal szt”rpe"
"Create world","Vil g l‚trehoz sa"
"Two uninstalled mods have the same id and numeric version: ","K‚t elt vol¡tott modnak ugyanaz az azonos¡t¢ja ‚s numerikus verzi¢ja: "
"Stone ","K‹ "
"Appraiser","rt‚kbecsl‹"
"Adequate","Alkalmas"
"You might want to check your maximum volcanism value.  ","rdemes ellen‹rizni a maxim lis vulkanizmus ‚rt‚k‚t. "
"vomit","h ny s"
"improvised music, ","r”gt”nz”tt zene, "
"father","apa"
"refugee","meneklt"
"Loading units...","Egys‚gek bet”lt‚se..."
"Increase FPS limit","FPS limit emel‚se"
" a piece of"," egy r‚sze"
"sibling","testv‚r"
